날짜,시도,측정소명,측정소코드,아황산가스,일산화탄소,오존,이산화질소,PM10,PM2.5
2020-02-01 01,부산 중구,광복동,221112,.003,.4,.016,.018,27,19
2020-02-01 02,부산 중구,광복동,221112,.003,.4,.02,.014,30,23
2020-02-01 03,부산 중구,광복동,221112,.003,.4,.024,.011,33,19
2020-02-01 04,부산 중구,광복동,221112,.003,.4,.023,.011,36,20
2020-02-01 05,부산 중구,광복동,221112,.003,.4,.023,.011,39,20
2020-02-01 06,부산 중구,광복동,221112,.003,.4,.022,.011,42,25
2020-02-01 07,부산 중구,광복동,221112,.003,.4,.022,.011,44,27
2020-02-01 08,부산 중구,광복동,221112,.003,.5,.019,.014,44,27
2020-02-01 09,부산 중구,광복동,221112,.003,.5,.021,.015,46,30
2020-02-01 10,부산 중구,광복동,221112,.003,.5,.023,.014,46,31
2020-02-01 11,부산 중구,광복동,221112,.003,.5,.027,.013,52,35
2020-02-01 12,부산 중구,광복동,221112,.003,.4,.032,.01,51,33
2020-02-01 13,부산 중구,광복동,221112,.003,.4,.038,.008,39,25
2020-02-01 14,부산 중구,광복동,221112,.003,.4,.038,.008,44,29
2020-02-01 15,부산 중구,광복동,221112,.003,.5,.041,.008,45,30
2020-02-01 16,부산 중구,광복동,221112,.003,.5,.046,.007,48,34
2020-02-01 17,부산 중구,광복동,221112,.003,.5,.045,.009,60,39
2020-02-01 18,부산 중구,광복동,221112,.003,.6,.044,.009,61,42
2020-02-01 19,부산 중구,광복동,221112,.003,.6,.041,.012,66,47
2020-02-01 20,부산 중구,광복동,221112,.003,.7,.037,.014,72,51
2020-02-01 21,부산 중구,광복동,221112,.003,.6,.035,.014,73,52
2020-02-01 22,부산 중구,광복동,221112,.003,.7,.022,.025,72,56
2020-02-01 23,부산 중구,광복동,221112,.003,.7,.017,.028,73,58
2020-02-01 24,부산 중구,광복동,221112,.003,.7,.022,.023,76,55
2020-02-02 01,부산 중구,광복동,221112,.003,.7,.027,.017,76,54
2020-02-02 02,부산 중구,광복동,221112,.003,.6,.031,.014,81,59
2020-02-02 03,부산 중구,광복동,221112,.003,.6,.033,.012,76,53
2020-02-02 04,부산 중구,광복동,221112,.003,.6,.032,.012,84,57
2020-02-02 05,부산 중구,광복동,221112,.003,.6,.036,.01,78,62
2020-02-02 06,부산 중구,광복동,221112,.003,.6,.04,.007,82,64
2020-02-02 07,부산 중구,광복동,221112,.003,.6,.037,.01,78,60
2020-02-02 08,부산 중구,광복동,221112,.003,.6,.034,.013,73,57
2020-02-02 09,부산 중구,광복동,221112,.004,.6,.031,.014,79,52
2020-02-02 10,부산 중구,광복동,221112,.003,.6,.038,.009,79,53
2020-02-02 11,부산 중구,광복동,221112,.003,.6,.039,.011,77,53
2020-02-02 12,부산 중구,광복동,221112,.003,.6,.035,.015,74,51
2020-02-02 13,부산 중구,광복동,221112,.003,.5,.046,.008,68,50
2020-02-02 14,부산 중구,광복동,221112,.003,.5,.046,.009,63,48
2020-02-02 15,부산 중구,광복동,221112,.003,.5,.048,.009,68,45
2020-02-02 16,부산 중구,광복동,221112,.003,.5,.046,.01,59,44
2020-02-02 17,부산 중구,광복동,221112,.004,.5,.043,.014,51,41
2020-02-02 18,부산 중구,광복동,221112,.004,.6,.04,.017,55,37
2020-02-02 19,부산 중구,광복동,221112,.004,.6,.043,.016,56,43
2020-02-02 20,부산 중구,광복동,221112,.004,.7,.039,.019,69,49
2020-02-02 21,부산 중구,광복동,221112,.003,.7,.031,.024,78,59
2020-02-02 22,부산 중구,광복동,221112,.003,.7,.032,.021,79,57
2020-02-02 23,부산 중구,광복동,221112,.003,.7,.032,.02,78,58
2020-02-02 24,부산 중구,광복동,221112,.003,.6,.031,.018,75,59
2020-02-03 01,부산 중구,광복동,221112,.004,.7,.032,.015,69,49
2020-02-03 02,부산 중구,광복동,221112,.003,.6,.034,.01,74,49
2020-02-03 03,부산 중구,광복동,221112,.003,.5,.034,.008,61,40
2020-02-03 04,부산 중구,광복동,221112,.003,.5,.034,.008,56,38
2020-02-03 05,부산 중구,광복동,221112,.003,.5,.034,.008,49,32
2020-02-03 06,부산 중구,광복동,221112,.003,.5,.033,.008,53,32
2020-02-03 07,부산 중구,광복동,221112,.003,.5,.029,.012,48,32
2020-02-03 08,부산 중구,광복동,221112,.003,.5,.02,.021,48,29
2020-02-03 09,부산 중구,광복동,221112,.003,.5,.021,.021,45,26
2020-02-03 10,부산 중구,광복동,221112,.003,.5,.027,.016,46,29
2020-02-03 11,부산 중구,광복동,221112,.003,.5,.034,.011,43,25
2020-02-03 12,부산 중구,광복동,221112,.003,.4,.036,.009,39,26
2020-02-03 13,부산 중구,광복동,221112,.003,.4,.037,.009,43,24
2020-02-03 14,부산 중구,광복동,221112,.002,.4,.039,.007,35,24
2020-02-03 15,부산 중구,광복동,221112,,,,,36,20
2020-02-03 16,부산 중구,광복동,221112,.002,.4,.039,.008,30,23
2020-02-03 17,부산 중구,광복동,221112,.002,.4,.038,.009,32,21
2020-02-03 18,부산 중구,광복동,221112,.002,.4,.032,.014,33,22
2020-02-03 19,부산 중구,광복동,221112,.002,.4,.021,.023,31,19
2020-02-03 20,부산 중구,광복동,221112,.002,.5,.012,.031,34,21
2020-02-03 21,부산 중구,광복동,221112,.003,.5,.012,.029,39,17
2020-02-03 22,부산 중구,광복동,221112,.003,.4,.017,.023,37,21
2020-02-03 23,부산 중구,광복동,221112,.003,.5,.011,.029,35,19
2020-02-03 24,부산 중구,광복동,221112,.003,.4,.018,.019,36,17
2020-02-04 01,부산 중구,광복동,221112,.003,.4,.025,.012,33,17
2020-02-04 02,부산 중구,광복동,221112,.003,.4,.024,.012,32,19
2020-02-04 03,부산 중구,광복동,221112,.003,.4,.028,.009,34,19
2020-02-04 04,부산 중구,광복동,221112,.003,.4,.031,.007,32,16
2020-02-04 05,부산 중구,광복동,221112,.003,.4,.027,.009,30,20
2020-02-04 06,부산 중구,광복동,221112,.003,.4,.025,.009,34,19
2020-02-04 07,부산 중구,광복동,221112,.003,.4,.023,.011,33,19
