날짜,시도,측정소명,측정소코드,아황산가스,일산화탄소,오존,이산화질소,PM10,PM2.5
2020-01-01 01,부산 중구,광복동,221112,.002,.3,.026,.008,8,3
2020-01-01 02,부산 중구,광복동,221112,.003,.3,.026,.007,14,3
2020-01-01 03,부산 중구,광복동,221112,.003,.3,.027,.006,10,5
2020-01-01 04,부산 중구,광복동,221112,.003,.3,.028,.005,9,5
2020-01-01 05,부산 중구,광복동,221112,.002,.3,.028,.005,17,5
2020-01-01 06,부산 중구,광복동,221112,.002,.3,.027,.005,12,8
2020-01-01 07,부산 중구,광복동,221112,.002,.4,.026,.005,21,11
2020-01-01 08,부산 중구,광복동,221112,,,,,,
2020-01-01 09,부산 중구,광복동,221112,.002,.4,.019,.012,21,13
2020-01-01 10,부산 중구,광복동,221112,.003,.4,.023,.01,22,14
2020-01-01 11,부산 중구,광복동,221112,,,,,,
2020-01-01 12,부산 중구,광복동,221112,,,,,,
2020-01-01 13,부산 중구,광복동,221112,.002,.4,.028,.007,26,13
2020-01-01 14,부산 중구,광복동,221112,.002,.4,.029,.007,28,21
2020-01-01 15,부산 중구,광복동,221112,.002,.4,.03,.007,21,16
2020-01-01 16,부산 중구,광복동,221112,.002,.4,.029,.008,17,18
2020-01-01 17,부산 중구,광복동,221112,.002,.4,.027,.01,21,17
2020-01-01 18,부산 중구,광복동,221112,.002,.4,.025,.012,21,19
2020-01-01 19,부산 중구,광복동,221112,.002,.5,.024,.013,26,19
2020-01-01 20,부산 중구,광복동,221112,.002,.5,.019,.018,27,19
2020-01-01 21,부산 중구,광복동,221112,.003,.5,.022,.014,27,17
2020-01-01 22,부산 중구,광복동,221112,.002,.4,.023,.012,22,15
2020-01-01 23,부산 중구,광복동,221112,.002,.4,.022,.012,27,17
2020-01-01 24,부산 중구,광복동,221112,.002,.4,.026,.009,27,12
2020-01-02 01,부산 중구,광복동,221112,.002,.4,.027,.007,32,15
2020-01-02 02,부산 중구,광복동,221112,.002,.4,.028,.006,29,19
2020-01-02 03,부산 중구,광복동,221112,.002,.4,.027,.006,31,18
2020-01-02 04,부산 중구,광복동,221112,.003,.4,.026,.006,30,24
2020-01-02 05,부산 중구,광복동,221112,.003,.4,.025,.007,37,22
2020-01-02 06,부산 중구,광복동,221112,.003,.4,.026,.007,33,24
2020-01-02 07,부산 중구,광복동,221112,.003,.5,.024,.009,34,28
2020-01-02 08,부산 중구,광복동,221112,.003,.5,.02,.013,37,25
2020-01-02 09,부산 중구,광복동,221112,.003,.5,.014,.018,38,32
2020-01-02 10,부산 중구,광복동,221112,.004,.6,.018,.017,50,36
2020-01-02 11,부산 중구,광복동,221112,,,,,64,43
2020-01-02 12,부산 중구,광복동,221112,.003,.5,.019,.012,62,39
2020-01-02 13,부산 중구,광복동,221112,.003,.5,.023,.013,62,39
2020-01-02 14,부산 중구,광복동,221112,.003,.5,.027,.012,62,46
2020-01-02 15,부산 중구,광복동,221112,.003,.5,.025,.016,60,44
2020-01-02 16,부산 중구,광복동,221112,.003,.5,.023,.019,58,43
2020-01-02 17,부산 중구,광복동,221112,.003,.5,.03,.015,55,45
2020-01-02 18,부산 중구,광복동,221112,.003,.5,.024,.02,53,42
2020-01-02 19,부산 중구,광복동,221112,.003,.5,.018,.025,57,41
2020-01-02 20,부산 중구,광복동,221112,.003,.6,.018,.023,57,39
2020-01-02 21,부산 중구,광복동,221112,.003,.5,.02,.017,56,37
2020-01-02 22,부산 중구,광복동,221112,.003,.5,.019,.017,58,40
2020-01-02 23,부산 중구,광복동,221112,.003,.6,.018,.017,53,39
2020-01-02 24,부산 중구,광복동,221112,.003,.5,.023,.012,59,41
2020-01-03 01,부산 중구,광복동,221112,.003,.5,.026,.01,52,40
2020-01-03 02,부산 중구,광복동,221112,.003,.5,.03,.008,56,39
2020-01-03 03,부산 중구,광복동,221112,.003,.5,.034,.006,56,32
2020-01-03 04,부산 중구,광복동,221112,.003,.5,.034,.006,56,40
2020-01-03 05,부산 중구,광복동,221112,.003,.5,.033,.007,53,40
2020-01-03 06,부산 중구,광복동,221112,.003,.5,.032,.008,61,44
2020-01-03 07,부산 중구,광복동,221112,.004,.5,.03,.011,61,44
2020-01-03 08,부산 중구,광복동,221112,.004,.5,.027,.015,55,40
2020-01-03 09,부산 중구,광복동,221112,.004,.6,.018,.021,57,36
2020-01-03 10,부산 중구,광복동,221112,.004,.6,.022,.017,70,46
2020-01-03 11,부산 중구,광복동,221112,.004,.6,.024,.015,64,49
2020-01-03 12,부산 중구,광복동,221112,.003,.5,.028,.014,66,45
2020-01-03 13,부산 중구,광복동,221112,.003,.5,.032,.012,59,36
2020-01-03 14,부산 중구,광복동,221112,.003,.5,.034,.011,53,36
2020-01-03 15,부산 중구,광복동,221112,.003,.5,.032,.012,48,35
2020-01-03 16,부산 중구,광복동,221112,.003,.5,.031,.013,42,31
2020-01-03 17,부산 중구,광복동,221112,.003,.5,.028,.016,48,32
2020-01-03 18,부산 중구,광복동,221112,.003,.5,.025,.019,46,37
2020-01-03 19,부산 중구,광복동,221112,.003,.7,.008,.034,52,38
2020-01-03 20,부산 중구,광복동,221112,.003,.8,.004,.04,60,38
2020-01-03 21,부산 중구,광복동,221112,.004,.7,.004,.042,64,40
2020-01-03 22,부산 중구,광복동,221112,.004,.7,.005,.038,67,42
2020-01-03 23,부산 중구,광복동,221112,.003,.6,.011,.03,53,36
2020-01-03 24,부산 중구,광복동,221112,.003,.4,.028,.011,53,28
2020-01-04 01,부산 중구,광복동,221112,.003,.4,.027,.01,32,12
2020-01-04 02,부산 중구,광복동,221112,.003,.4,.028,.009,33,17
2020-01-04 03,부산 중구,광복동,221112,.003,.4,.029,.009,33,19
2020-01-04 04,부산 중구,광복동,221112,.003,.4,.029,.008,24,12
2020-01-04 05,부산 중구,광복동,221112,.003,.4,.028,.009,31,19
2020-01-04 06,부산 중구,광복동,221112,.003,.4,.028,.009,25,21
2020-01-04 07,부산 중구,광복동,221112,.003,.4,.026,.012,31,21
2020-01-04 08,부산 중구,광복동,221112,.003,.4,.02,.018,24,20
2020-01-04 09,부산 중구,광복동,221112,.004,.4,.022,.018,27,17
2020-01-04 10,부산 중구,광복동,221112,.004,.4,.023,.017,31,20
2020-01-04 11,부산 중구,광복동,221112,.003,.5,.028,.013,32,25
2020-01-04 12,부산 중구,광복동,221112,.003,.4,.031,.011,30,18
2020-01-04 13,부산 중구,광복동,221112,.003,.4,.033,.009,28,17
2020-01-04 14,부산 중구,광복동,221112,.003,.5,.033,.01,37,25
2020-01-04 15,부산 중구,광복동,221112,.003,.5,.032,.011,39,27
2020-01-04 16,부산 중구,광복동,221112,.003,.5,.032,.011,46,33
2020-01-04 17,부산 중구,광복동,221112,.003,.6,.029,.014,37,32
2020-01-04 18,부산 중구,광복동,221112,.003,.6,.023,.018,39,32
2020-01-04 19,부산 중구,광복동,221112,.003,.5,.029,.014,44,36
2020-01-04 20,부산 중구,광복동,221112,.003,.5,.028,.014,35,19
2020-01-04 21,부산 중구,광복동,221112,.003,.5,.023,.017,35,21
2020-01-04 22,부산 중구,광복동,221112,.003,.5,.025,.015,38,24
2020-01-04 23,부산 중구,광복동,221112,.004,.5,.019,.021,32,21
2020-01-04 24,부산 중구,광복동,221112,.004,.5,.022,.016,37,23
2020-01-05 01,부산 중구,광복동,221112,.004,.5,.024,.013,36,25
2020-01-05 02,부산 중구,광복동,221112,.003,.5,.024,.012,42,24
2020-01-05 03,부산 중구,광복동,221112,.003,.5,.024,.012,42,24
2020-01-05 04,부산 중구,광복동,221112,.003,.5,.022,.013,37,23
2020-01-05 05,부산 중구,광복동,221112,.003,.5,.021,.013,41,31
2020-01-05 06,부산 중구,광복동,221112,.003,.5,.021,.012,45,28
2020-01-05 07,부산 중구,광복동,221112,.003,.5,.022,.012,36,27
2020-01-05 08,부산 중구,광복동,221112,.003,.5,.02,.014,47,31
2020-01-05 09,부산 중구,광복동,221112,.006,.6,.012,.02,45,30
2020-01-05 10,부산 중구,광복동,221112,.007,.6,.008,.029,60,36
2020-01-05 11,부산 중구,광복동,221112,.004,.6,.02,.022,61,40
2020-01-05 12,부산 중구,광복동,221112,.003,.5,.028,.013,50,34
2020-01-05 13,부산 중구,광복동,221112,.004,.5,.027,.014,36,25
2020-01-05 14,부산 중구,광복동,221112,.004,.5,.029,.014,34,25
2020-01-05 15,부산 중구,광복동,221112,.004,.5,.027,.017,27,25
2020-01-05 16,부산 중구,광복동,221112,.004,.5,.029,.016,35,26
2020-01-05 17,부산 중구,광복동,221112,.004,.5,.025,.02,36,21
2020-01-05 18,부산 중구,광복동,221112,.004,.5,.03,.017,34,24
2020-01-05 19,부산 중구,광복동,221112,.003,.6,.007,.035,34,18
2020-01-05 20,부산 중구,광복동,221112,.003,.6,.005,.038,36,15
2020-01-05 21,부산 중구,광복동,221112,.003,.6,.007,.035,34,20
2020-01-05 22,부산 중구,광복동,221112,.003,.5,.004,.036,23,10
2020-01-05 23,부산 중구,광복동,221112,.003,.6,.004,.037,23,10
2020-01-05 24,부산 중구,광복동,221112,.003,.7,.003,.036,22,8
2020-01-06 01,부산 중구,광복동,221112,.003,.7,.002,.041,26,9
2020-01-06 02,부산 중구,광복동,221112,.004,.7,.002,.04,27,16
2020-01-06 03,부산 중구,광복동,221112,.004,.6,.002,.04,35,17
2020-01-06 04,부산 중구,광복동,221112,.005,.5,.002,.039,25,15
2020-01-06 05,부산 중구,광복동,221112,.005,.5,.002,.036,23,18
2020-01-06 06,부산 중구,광복동,221112,.007,.5,.003,.035,25,15
2020-01-06 07,부산 중구,광복동,221112,.006,.6,.003,.035,26,19
2020-01-06 08,부산 중구,광복동,221112,.005,.7,.003,.038,31,24
2020-01-06 09,부산 중구,광복동,221112,.004,.7,.002,.04,36,22
2020-01-06 10,부산 중구,광복동,221112,.005,.7,.003,.045,33,21
2020-01-06 11,부산 중구,광복동,221112,.009,.8,.003,.047,44,26
2020-01-06 12,부산 중구,광복동,221112,.008,.7,.003,.059,52,32
2020-01-06 13,부산 중구,광복동,221112,.006,.7,.004,.053,42,24
2020-01-06 14,부산 중구,광복동,221112,,,,,26,25
