날짜,시도,측정소명,측정소코드,아황산가스,일산화탄소,오존,이산화질소,PM10,PM2.5
2020-06-01 01,부산 중구,광복동,221112,.003,.4,.043,.01,22,15
2020-06-01 02,부산 중구,광복동,221112,.003,.4,.041,.01,23,13
2020-06-01 03,부산 중구,광복동,221112,.003,.4,.042,.008,23,22
2020-06-01 04,부산 중구,광복동,221112,.003,.4,.041,.007,21,23
2020-06-01 05,부산 중구,광복동,221112,.003,.4,.037,.009,17,17
2020-06-01 06,부산 중구,광복동,221112,.003,.4,.019,.017,22,15
2020-06-01 07,부산 중구,광복동,221112,.004,.4,.016,.02,30,22
2020-06-01 08,부산 중구,광복동,221112,.004,.4,.032,.012,26,20
2020-06-01 09,부산 중구,광복동,221112,.004,.5,.035,.011,43,20
2020-06-01 10,부산 중구,광복동,221112,.004,.5,.033,.015,32,19
2020-06-01 11,부산 중구,광복동,221112,.005,.6,.037,.018,52,26
2020-06-01 12,부산 중구,광복동,221112,.005,.5,.042,.014,57,36
2020-06-01 13,부산 중구,광복동,221112,.004,.4,.048,.014,42,28
2020-06-01 14,부산 중구,광복동,221112,.004,.5,.056,.014,37,29
2020-06-01 15,부산 중구,광복동,221112,.004,.5,.055,.017,45,23
2020-06-01 16,부산 중구,광복동,221112,.004,.5,.06,.015,42,25
2020-06-01 17,부산 중구,광복동,221112,.004,.5,.064,.016,37,22
2020-06-01 18,부산 중구,광복동,221112,.004,.4,.054,.016,63,20
2020-06-01 19,부산 중구,광복동,221112,.004,.4,.05,.015,44,19
2020-06-01 20,부산 중구,광복동,221112,.004,.4,.047,.014,36,17
2020-06-01 21,부산 중구,광복동,221112,.003,.5,.034,.017,26,14
2020-06-01 22,부산 중구,광복동,221112,.003,.4,.03,.015,28,14
2020-06-01 23,부산 중구,광복동,221112,.003,.4,.034,.011,19,10
2020-06-01 24,부산 중구,광복동,221112,.003,.3,.037,.009,15,7
2020-06-02 01,부산 중구,광복동,221112,.003,.3,.039,.007,14,8
2020-06-02 02,부산 중구,광복동,221112,.003,.3,.04,.006,13,8
2020-06-02 03,부산 중구,광복동,221112,.003,.3,.041,.005,10,4
2020-06-02 04,부산 중구,광복동,221112,.003,.3,.04,.005,7,3
2020-06-02 05,부산 중구,광복동,221112,.003,.3,.036,.007,6,6
2020-06-02 06,부산 중구,광복동,221112,.003,.3,.034,.007,8,5
2020-06-02 07,부산 중구,광복동,221112,.003,.3,.026,.012,8,2
2020-06-02 08,부산 중구,광복동,221112,.004,.4,.021,.015,18,7
2020-06-02 09,부산 중구,광복동,221112,.004,.4,.016,.021,20,10
2020-06-02 10,부산 중구,광복동,221112,.005,.4,.02,.022,40,11
2020-06-02 11,부산 중구,광복동,221112,.005,.4,.026,.022,31,12
2020-06-02 12,부산 중구,광복동,221112,.004,.3,.038,.016,25,13
2020-06-02 13,부산 중구,광복동,221112,.004,.3,.059,.012,32,14
2020-06-02 14,부산 중구,광복동,221112,,,,,22,13
2020-06-02 15,부산 중구,광복동,221112,.004,.3,,.016,34,11
2020-06-02 16,부산 중구,광복동,221112,.005,.3,,.019,22,18
2020-06-02 17,부산 중구,광복동,221112,.004,.3,.039,.015,32,24
2020-06-02 18,부산 중구,광복동,221112,.003,.3,.026,.016,29,13
2020-06-02 19,부산 중구,광복동,221112,.003,.3,.036,.01,20,11
2020-06-02 20,부산 중구,광복동,221112,.003,.3,.04,.009,19,7
2020-06-02 21,부산 중구,광복동,221112,.003,.4,.032,.014,20,5
2020-06-02 22,부산 중구,광복동,221112,.004,.3,.031,.014,22,8
2020-06-02 23,부산 중구,광복동,221112,.005,.3,.035,.012,12,10
2020-06-02 24,부산 중구,광복동,221112,.004,.3,.044,.008,17,9
2020-06-03 01,부산 중구,광복동,221112,.004,.3,.047,.007,25,9
2020-06-03 02,부산 중구,광복동,221112,.004,.3,.041,.011,24,9
2020-06-03 03,부산 중구,광복동,221112,.004,.3,.041,.009,21,9
2020-06-03 04,부산 중구,광복동,221112,.004,.3,.045,.006,25,11
2020-06-03 05,부산 중구,광복동,221112,.004,.3,.041,.009,26,16
2020-06-03 06,부산 중구,광복동,221112,.003,.3,.039,.009,32,17
2020-06-03 07,부산 중구,광복동,221112,.004,.4,.036,.011,29,16
2020-06-03 08,부산 중구,광복동,221112,.004,.5,.018,.028,28,22
2020-06-03 09,부산 중구,광복동,221112,.004,.4,.022,.027,37,21
2020-06-03 10,부산 중구,광복동,221112,.004,.4,.025,.024,44,23
2020-06-03 11,부산 중구,광복동,221112,.004,.4,.029,.019,41,20
2020-06-03 12,부산 중구,광복동,221112,.003,.4,.034,.016,42,17
2020-06-03 13,부산 중구,광복동,221112,.004,.4,.044,.014,40,17
2020-06-03 14,부산 중구,광복동,221112,.004,.4,.042,.016,25,11
2020-06-03 15,부산 중구,광복동,221112,.003,.4,.043,.015,29,20
2020-06-03 16,부산 중구,광복동,221112,.003,.4,.034,.018,26,14
2020-06-03 17,부산 중구,광복동,221112,.003,.4,.033,.016,22,12
2020-06-03 18,부산 중구,광복동,221112,.003,.4,.034,.015,14,12
2020-06-03 19,부산 중구,광복동,221112,.003,.4,.029,.018,13,12
2020-06-03 20,부산 중구,광복동,221112,.003,.4,.031,.014,17,10
2020-06-03 21,부산 중구,광복동,221112,.003,.4,.03,.014,13,7
2020-06-03 22,부산 중구,광복동,221112,.003,.4,.031,.012,12,10
2020-06-03 23,부산 중구,광복동,221112,.003,.3,.031,.011,10,10
2020-06-03 24,부산 중구,광복동,221112,.003,.3,.03,.011,10,9
2020-06-04 01,부산 중구,광복동,221112,.003,.3,.026,.014,10,6
2020-06-04 02,부산 중구,광복동,221112,.003,.3,.031,.01,15,5
2020-06-04 03,부산 중구,광복동,221112,.003,.3,.038,.007,9,8
2020-06-04 04,부산 중구,광복동,221112,.003,.4,.042,.006,16,10
2020-06-04 05,부산 중구,광복동,221112,.003,.4,.04,.008,16,11
2020-06-04 06,부산 중구,광복동,221112,.003,.4,.035,.011,27,17
2020-06-04 07,부산 중구,광복동,221112,.003,.4,.036,.011,30,18
2020-06-04 08,부산 중구,광복동,221112,.004,.4,.038,.011,37,24
2020-06-04 09,부산 중구,광복동,221112,.004,.5,.037,.014,42,29
2020-06-04 10,부산 중구,광복동,221112,.004,.4,.032,.022,47,26
2020-06-04 11,부산 중구,광복동,221112,.004,.4,.041,.021,37,20
2020-06-04 12,부산 중구,광복동,221112,.003,.5,.052,.017,48,24
2020-06-04 13,부산 중구,광복동,221112,.004,.5,.057,.015,50,29
2020-06-04 14,부산 중구,광복동,221112,.003,.4,.052,.016,46,30
