날짜,시도,측정소명,측정소코드,아황산가스,일산화탄소,오존,이산화질소,PM10,PM2.5
2020-10-01 01,부산 중구,광복동,221112,.003,.3,.037,.004,14,2
2020-10-01 02,부산 중구,광복동,221112,.003,.3,.036,.004,14,4
2020-10-01 03,부산 중구,광복동,221112,.002,.3,.036,.003,13,4
2020-10-01 04,부산 중구,광복동,221112,.002,.3,.036,.003,10,5
2020-10-01 05,부산 중구,광복동,221112,.002,.3,.034,.003,,4
2020-10-01 06,부산 중구,광복동,221112,.002,.3,.033,.003,12,2
2020-10-01 07,부산 중구,광복동,221112,.002,.3,.031,.005,13,5
2020-10-01 08,부산 중구,광복동,221112,.003,.3,.023,.009,12,9
2020-10-01 09,부산 중구,광복동,221112,.003,.3,.031,.006,17,7
2020-10-01 10,부산 중구,광복동,221112,.003,.3,.035,.004,13,8
2020-10-01 11,부산 중구,광복동,221112,.003,.3,.036,.005,21,10
2020-10-01 12,부산 중구,광복동,221112,.004,.3,.042,.006,17,9
2020-10-01 13,부산 중구,광복동,221112,.003,.3,.045,.005,21,11
2020-10-01 14,부산 중구,광복동,221112,.003,.3,.042,.005,16,11
2020-10-01 15,부산 중구,광복동,221112,.003,.3,.041,.005,20,9
2020-10-01 16,부산 중구,광복동,221112,.002,.3,.038,.005,24,2
2020-10-01 17,부산 중구,광복동,221112,.002,.3,.037,.005,15,2
2020-10-01 18,부산 중구,광복동,221112,.002,.3,.034,.007,21,9
2020-10-01 19,부산 중구,광복동,221112,.002,.3,.033,.007,24,12
2020-10-01 20,부산 중구,광복동,221112,.002,.3,.031,.008,26,11
2020-10-01 21,부산 중구,광복동,221112,.002,.3,.032,.007,22,9
2020-10-01 22,부산 중구,광복동,221112,.002,.3,.029,.008,21,6
2020-10-01 23,부산 중구,광복동,221112,.003,.3,.03,.007,22,6
2020-10-01 24,부산 중구,광복동,221112,.003,.4,.029,.007,23,8
2020-10-02 01,부산 중구,광복동,221112,.003,.3,.03,.006,23,10
2020-10-02 02,부산 중구,광복동,221112,.003,.3,.031,.004,19,10
2020-10-02 03,부산 중구,광복동,221112,.003,.3,.027,.005,17,9
2020-10-02 04,부산 중구,광복동,221112,.002,.3,.022,.008,13,10
2020-10-02 05,부산 중구,광복동,221112,.002,.3,.018,.009,18,11
2020-10-02 06,부산 중구,광복동,221112,.002,.3,.018,.008,21,10
2020-10-02 07,부산 중구,광복동,221112,.003,.4,.012,.012,17,9
2020-10-02 08,부산 중구,광복동,221112,.003,.4,.011,.015,23,18
2020-10-02 09,부산 중구,광복동,221112,.003,.4,.013,.015,20,11
2020-10-02 10,부산 중구,광복동,221112,.003,.3,.022,.014,24,11
2020-10-02 11,부산 중구,광복동,221112,.003,.3,.039,.006,23,12
