,blueWins,blueTowerKills,blueFirstInhibitor,blueInhibitorKills,blueObjectDamageDealt,blueDeath,blueKills,blueDragonKills
0,1,4,1,2,10336,36,42,0
1,0,0,0,0,69,34,20,0
2,0,5,0,0,50575,40,27,1
3,0,0,0,0,5362,33,15,0
4,1,4,1,2,9727,36,55,0
5,1,3,0,0,23220,10,17,2
6,1,7,1,1,50652,12,29,2
7,0,4,0,0,39073,20,18,1
8,0,2,0,0,25311,42,32,0
9,1,11,1,3,71516,14,30,3
10,0,1,0,0,13044,21,10,0
11,0,2,0,0,26889,42,32,0
12,1,10,1,2,61660,12,30,2
13,1,4,1,2,7059,33,39,0
14,0,3,0,0,29110,16,14,0
15,1,4,1,1,10569,46,46,0
16,1,9,1,3,76970,36,45,2
17,0,3,0,0,23151,36,20,0
18,0,3,0,0,31372,32,17,0
19,0,1,0,0,22722,25,13,1
20,0,2,0,0,21261,46,33,0
21,1,4,1,3,8054,64,66,0
22,0,2,0,1,5882,62,39,0
23,0,0,0,0,9794,53,35,1
24,1,4,0,0,33335,9,22,2
25,0,0,0,0,14539,43,15,1
26,0,0,0,0,5514,24,6,0
27,0,0,0,0,5193,35,4,0
28,0,3,0,0,43051,40,40,2
29,1,9,1,1,47360,20,32,1
30,1,2,0,0,35658,14,17,1
31,0,3,0,2,7786,45,42,0
32,1,4,0,0,51328,13,31,2
33,1,8,1,1,52987,17,28,1
34,0,0,0,0,5972,31,8,0
35,0,3,0,0,40162,37,26,3
36,0,0,0,0,151,59,41,0
37,0,2,0,0,15230,30,21,0
38,1,8,1,2,64591,26,45,0
39,0,6,1,2,52684,40,32,2
40,0,2,0,0,19633,33,13,0
41,1,10,1,1,81845,17,33,3
42,1,4,0,0,38722,2,18,1
43,1,5,0,0,59841,14,28,2
44,0,5,0,0,57758,42,35,4
45,0,7,1,1,75690,32,37,3
46,1,4,0,0,55009,17,24,2
47,0,4,0,0,45193,32,32,1
48,1,4,1,1,10075,35,46,0
49,1,7,1,1,29125,7,24,1
50,0,4,0,0,32308,36,33,2
51,0,0,0,0,10348,20,6,0
52,0,0,0,0,11753,40,15,1
53,1,5,1,1,49431,15,32,3
54,0,1,0,0,38932,29,10,1
55,1,7,1,1,51815,17,24,2
56,1,10,1,1,61507,15,26,2
57,1,6,0,0,74995,10,29,3
58,0,3,0,0,41467,14,19,0
59,0,2,0,0,42122,35,16,2
60,1,9,1,1,67281,15,30,2
61,1,5,0,0,48273,9,24,1
62,1,5,0,0,40641,12,20,1
63,0,5,0,0,59134,35,36,4
64,1,8,1,1,61136,13,26,1
65,0,0,0,0,3478,19,7,0
66,1,4,1,1,9771,44,41,0
67,0,0,0,0,7432,37,11,0
68,0,1,0,0,24829,33,21,2
69,1,10,1,2,63343,13,32,3
70,1,9,1,1,50144,37,48,2
71,1,4,1,1,7723,34,51,0
72,1,8,1,1,54081,23,32,2
73,1,7,1,1,47760,20,28,2
74,0,2,0,0,23405,33,20,1
75,1,3,0,0,23918,7,17,1
76,0,0,0,0,15726,35,17,1
77,1,8,1,1,36171,28,21,0
78,1,4,0,0,25807,5,16,1
79,1,0,0,0,11343,3,9,0
80,1,5,0,0,47142,7,24,0
81,0,7,1,3,48536,35,27,2
82,1,4,1,2,8844,30,43,0
83,1,6,1,1,22494,28,39,1
84,1,8,1,1,55722,23,33,2
85,0,1,0,0,2789,34,16,0
86,1,4,0,0,40053,15,31,0
87,0,1,0,0,14103,26,13,0
88,1,5,0,0,38297,9,22,1
89,1,4,1,1,8931,48,67,0
90,0,1,0,0,23369,20,11,1
91,1,4,0,1,10968,50,52,0
92,1,7,1,2,65881,22,34,2
93,1,4,0,1,8588,48,48,0
