날짜,시도,측정소명,측정소코드,아황산가스,일산화탄소,오존,이산화질소,PM10,PM2.5
2020-04-01 01,부산 중구,광복동,221112,.002,.3,.033,.007,24,11
2020-04-01 02,부산 중구,광복동,221112,.002,.2,.031,.007,24,9
2020-04-01 03,부산 중구,광복동,221112,.003,.3,.027,.009,21,8
2020-04-01 04,부산 중구,광복동,221112,.003,.2,.029,.008,17,8
2020-04-01 05,부산 중구,광복동,221112,.003,.2,.028,.008,22,9
2020-04-01 06,부산 중구,광복동,221112,.003,.3,.024,.011,25,12
2020-04-01 07,부산 중구,광복동,221112,.003,.3,.02,.015,21,20
2020-04-01 08,부산 중구,광복동,221112,.003,.3,.024,.018,28,17
2020-04-01 09,부산 중구,광복동,221112,.003,.3,.039,.01,29,19
2020-04-01 10,부산 중구,광복동,221112,.003,.3,.031,.017,25,12
2020-04-01 11,부산 중구,광복동,221112,.003,.3,.028,.02,29,11
2020-04-01 12,부산 중구,광복동,221112,.003,.3,.033,.017,29,16
2020-04-01 13,부산 중구,광복동,221112,.005,.3,.03,.02,32,14
2020-04-01 14,부산 중구,광복동,221112,.004,.3,.034,.019,36,25
2020-04-01 15,부산 중구,광복동,221112,.005,.3,.039,.019,38,23
2020-04-01 16,부산 중구,광복동,221112,.005,.3,.05,.015,40,23
2020-04-01 17,부산 중구,광복동,221112,.003,.3,.054,.011,39,19
2020-04-01 18,부산 중구,광복동,221112,.003,.3,.051,.014,34,19
2020-04-01 19,부산 중구,광복동,221112,.003,.3,.049,.016,36,18
2020-04-01 20,부산 중구,광복동,221112,.003,.3,.048,.016,38,21
2020-04-01 21,부산 중구,광복동,221112,.003,.3,.042,.018,40,25
2020-04-01 22,부산 중구,광복동,221112,.003,.3,.03,.024,41,20
2020-04-01 23,부산 중구,광복동,221112,.003,.3,.028,.02,35,23
2020-04-01 24,부산 중구,광복동,221112,.003,.3,.037,.009,41,17
2020-04-02 01,부산 중구,광복동,221112,.003,.3,.037,.007,43,22
2020-04-02 02,부산 중구,광복동,221112,.002,.3,.038,.006,28,14
2020-04-02 03,부산 중구,광복동,221112,.002,.2,.036,.007,22,12
2020-04-02 04,부산 중구,광복동,221112,.003,.2,.038,.005,25,10
2020-04-02 05,부산 중구,광복동,221112,.003,.2,.036,.005,30,9
2020-04-02 06,부산 중구,광복동,221112,.002,.2,.033,.007,29,8
2020-04-02 07,부산 중구,광복동,221112,.002,.2,.032,.008,29,9
2020-04-02 08,부산 중구,광복동,221112,.002,.3,.03,.011,32,10
2020-04-02 09,부산 중구,광복동,221112,.003,.3,.023,.016,31,11
2020-04-02 10,부산 중구,광복동,221112,.002,.3,.032,.012,41,18
2020-04-02 11,부산 중구,광복동,221112,.003,.3,.033,.012,30,18
2020-04-02 12,부산 중구,광복동,221112,.003,.3,.039,.01,25,23
2020-04-02 13,부산 중구,광복동,221112,.003,.3,.041,.01,28,10
2020-04-02 14,부산 중구,광복동,221112,.004,.3,.044,.011,31,15
2020-04-02 15,부산 중구,광복동,221112,.003,.3,.046,.01,31,14
2020-04-02 16,부산 중구,광복동,221112,.003,.3,.051,.009,34,14
2020-04-02 17,부산 중구,광복동,221112,.003,.3,.048,.01,32,14
2020-04-02 18,부산 중구,광복동,221112,.003,.3,.048,.01,29,13
2020-04-02 19,부산 중구,광복동,221112,.003,.3,.044,.01,27,15
2020-04-02 20,부산 중구,광복동,221112,.003,.3,.043,.012,25,16
2020-04-02 21,부산 중구,광복동,221112,.003,.3,.042,.011,22,12
2020-04-02 22,부산 중구,광복동,221112,.005,.3,.036,.014,25,16
2020-04-02 23,부산 중구,광복동,221112,.004,.3,.037,.013,26,21
2020-04-02 24,부산 중구,광복동,221112,.003,.3,.038,.011,26,19
2020-04-03 01,부산 중구,광복동,221112,.004,.3,.035,.012,26,15
2020-04-03 02,부산 중구,광복동,221112,.003,.3,.035,.011,28,17
2020-04-03 03,부산 중구,광복동,221112,.004,.3,.035,.01,27,15
2020-04-03 04,부산 중구,광복동,221112,.004,.3,.033,.01,28,12
2020-04-03 05,부산 중구,광복동,221112,.004,.3,.037,.008,32,12
2020-04-03 06,부산 중구,광복동,221112,.004,.3,.037,.008,30,19
2020-04-03 07,부산 중구,광복동,221112,.003,.3,.033,.01,35,18
2020-04-03 08,부산 중구,광복동,221112,.003,.3,.037,.01,41,22
2020-04-03 09,부산 중구,광복동,221112,.003,.3,.036,.011,34,23
2020-04-03 10,부산 중구,광복동,221112,.003,.3,.035,.013,37,22
2020-04-03 11,부산 중구,광복동,221112,.003,.3,.036,.013,33,16
2020-04-03 12,부산 중구,광복동,221112,.003,.3,.041,.01,47,25
2020-04-03 13,부산 중구,광복동,221112,.004,.3,.037,.015,44,17
2020-04-03 14,부산 중구,광복동,221112,.004,.3,.038,.016,49,19
2020-04-03 15,부산 중구,광복동,221112,.004,.3,.041,.017,49,19
2020-04-03 16,부산 중구,광복동,221112,.004,.3,.056,.013,45,17
2020-04-03 17,부산 중구,광복동,221112,.004,.3,.059,.011,43,21
2020-04-03 18,부산 중구,광복동,221112,.004,.3,.056,.012,37,21
2020-04-03 19,부산 중구,광복동,221112,.004,.3,.051,.013,41,19
2020-04-03 20,부산 중구,광복동,221112,.004,.3,.05,.013,35,22
2020-04-03 21,부산 중구,광복동,221112,.004,.3,.045,.013,36,20
2020-04-03 22,부산 중구,광복동,221112,.004,.3,.05,.012,36,21
2020-04-03 23,부산 중구,광복동,221112,.005,.3,.048,.014,35,19
2020-04-03 24,부산 중구,광복동,221112,.004,.3,.047,.012,37,28
2020-04-04 01,부산 중구,광복동,221112,.004,.3,.05,.008,43,25
2020-04-04 02,부산 중구,광복동,221112,.004,.3,.049,.008,45,22
2020-04-04 03,부산 중구,광복동,221112,.004,.3,.049,.007,50,23
2020-04-04 04,부산 중구,광복동,221112,.004,.3,.05,.006,45,32
2020-04-04 05,부산 중구,광복동,221112,.004,.3,.051,.006,47,27
2020-04-04 06,부산 중구,광복동,221112,.003,.3,.048,.007,46,23
2020-04-04 07,부산 중구,광복동,221112,.003,.3,.043,.01,44,27
2020-04-04 08,부산 중구,광복동,221112,.003,.3,.04,.012,42,31
2020-04-04 09,부산 중구,광복동,221112,.003,.3,.041,.013,48,26
2020-04-04 10,부산 중구,광복동,221112,.003,.3,.049,.01,56,27
2020-04-04 11,부산 중구,광복동,221112,.004,.3,.044,.014,52,26
2020-04-04 12,부산 중구,광복동,221112,.004,.3,.047,.014,61,27
2020-04-04 13,부산 중구,광복동,221112,.003,.3,.056,.008,56,26
2020-04-04 14,부산 중구,광복동,221112,.004,.3,.058,.01,44,24
2020-04-04 15,부산 중구,광복동,221112,.004,.3,.06,.012,50,24
2020-04-04 16,부산 중구,광복동,221112,.004,.3,.058,.011,56,27
2020-04-04 17,부산 중구,광복동,221112,.003,.3,.042,.008,59,21
2020-04-04 18,부산 중구,광복동,221112,.003,.3,.04,.008,54,15
2020-04-04 19,부산 중구,광복동,221112,.003,.3,.037,.009,52,11
2020-04-04 20,부산 중구,광복동,221112,.003,.3,.037,.008,44,12
2020-04-04 21,부산 중구,광복동,221112,.004,.3,.033,.009,36,12
2020-04-04 22,부산 중구,광복동,221112,.006,.3,.033,.008,40,10
2020-04-04 23,부산 중구,광복동,221112,.005,.2,.031,.009,39,8
2020-04-04 24,부산 중구,광복동,221112,.003,.2,.033,.007,31,6
2020-04-05 01,부산 중구,광복동,221112,.003,.2,.034,.006,32,8
2020-04-05 02,부산 중구,광복동,221112,.003,.2,.035,.005,29,8
2020-04-05 03,부산 중구,광복동,221112,.003,.2,.036,.004,32,4
2020-04-05 04,부산 중구,광복동,221112,.003,.2,.034,.005,32,3
