날짜,시도,측정소명,측정소코드,아황산가스,일산화탄소,오존,이산화질소,PM10,PM2.5
2020-08-01 01,부산 중구,광복동,221112,.003,.4,.011,.016,24,13
2020-08-01 02,부산 중구,광복동,221112,.003,.3,.012,.014,21,9
2020-08-01 03,부산 중구,광복동,221112,.003,.4,.008,.015,24,8
2020-08-01 04,부산 중구,광복동,221112,.004,.4,.007,.014,25,12
2020-08-01 05,부산 중구,광복동,221112,.004,.4,.007,.015,22,10
2020-08-01 06,부산 중구,광복동,221112,.004,.4,.008,.016,34,16
2020-08-01 07,부산 중구,광복동,221112,.004,.4,.009,.015,24,19
2020-08-01 08,부산 중구,광복동,221112,.004,.4,.01,.013,21,10
2020-08-01 09,부산 중구,광복동,221112,.004,.5,.012,.014,26,15
2020-08-01 10,부산 중구,광복동,221112,.005,.5,.011,.018,36,19
2020-08-01 11,부산 중구,광복동,221112,.006,.6,.013,.021,42,18
2020-08-01 12,부산 중구,광복동,221112,.006,.6,.023,.024,42,21
2020-08-01 13,부산 중구,광복동,221112,.005,.5,.032,.021,42,23
2020-08-01 14,부산 중구,광복동,221112,.004,.4,.034,.016,35,22
2020-08-01 15,부산 중구,광복동,221112,.004,.4,.019,.012,45,24
2020-08-01 16,부산 중구,광복동,221112,.003,.4,.02,.009,17,16
2020-08-01 17,부산 중구,광복동,221112,.003,.4,.016,.011,23,10
2020-08-01 18,부산 중구,광복동,221112,.003,.4,.017,.011,17,9
2020-08-01 19,부산 중구,광복동,221112,.003,.4,.013,.014,12,10
2020-08-01 20,부산 중구,광복동,221112,.003,.4,.012,.015,24,17
2020-08-01 21,부산 중구,광복동,221112,.003,.4,.011,.017,25,17
2020-08-01 22,부산 중구,광복동,221112,.003,.4,.013,.015,23,18
2020-08-01 23,부산 중구,광복동,221112,.003,.4,.013,.014,29,17
2020-08-01 24,부산 중구,광복동,221112,.003,.3,.013,.011,33,24
2020-08-02 01,부산 중구,광복동,221112,.003,.3,.013,.011,41,28
2020-08-02 02,부산 중구,광복동,221112,.003,.3,.013,.008,40,30
2020-08-02 03,부산 중구,광복동,221112,.003,.3,.012,.007,37,32
2020-08-02 04,부산 중구,광복동,221112,.003,.3,.01,.009,41,32
2020-08-02 05,부산 중구,광복동,221112,.003,.4,.008,.01,43,24
2020-08-02 06,부산 중구,광복동,221112,.003,.3,.007,.011,44,26
2020-08-02 07,부산 중구,광복동,221112,.003,.4,.009,.01,39,32
2020-08-02 08,부산 중구,광복동,221112,.003,.4,.01,.01,45,30
2020-08-02 09,부산 중구,광복동,221112,.003,.4,.012,.01,39,30
2020-08-02 10,부산 중구,광복동,221112,.003,.3,.014,.009,42,33
2020-08-02 11,부산 중구,광복동,221112,.003,.4,.015,.01,46,35
2020-08-02 12,부산 중구,광복동,221112,.003,.4,.016,.01,60,40
2020-08-02 13,부산 중구,광복동,221112,.003,.4,.018,.009,54,39
2020-08-02 14,부산 중구,광복동,221112,.003,.4,.018,.01,63,35
2020-08-02 15,부산 중구,광복동,221112,.003,.4,.02,.01,75,46
