날짜,시도,측정소명,측정소코드,아황산가스,일산화탄소,오존,이산화질소,PM10,PM2.5
2020-12-01 01,부산 중구,광복동,221112,.003,.4,.023,.011,26,6
2020-12-01 02,부산 중구,광복동,221112,.003,.4,.023,.01,29,11
2020-12-01 03,부산 중구,광복동,221112,.003,.4,.021,.011,29,15
2020-12-01 04,부산 중구,광복동,221112,.003,.4,.02,.011,35,19
2020-12-01 05,부산 중구,광복동,221112,.003,.4,.019,.011,32,15
2020-12-01 06,부산 중구,광복동,221112,.003,.4,.018,.012,33,19
2020-12-01 07,부산 중구,광복동,221112,.003,.4,.012,.016,29,20
2020-12-01 08,부산 중구,광복동,221112,.003,.4,.011,.018,36,20
2020-12-01 09,부산 중구,광복동,221112,.003,.4,.012,.019,34,19
2020-12-01 10,부산 중구,광복동,221112,.003,.4,.014,.019,36,21
2020-12-01 11,부산 중구,광복동,221112,.003,.4,.014,.02,39,24
2020-12-01 12,부산 중구,광복동,221112,.003,.4,.019,.018,38,26
2020-12-01 13,부산 중구,광복동,221112,.003,.4,.018,.019,38,28
2020-12-01 14,부산 중구,광복동,221112,.003,.4,.023,.016,40,31
2020-12-01 15,부산 중구,광복동,221112,.003,.4,.026,.015,41,30
2020-12-01 16,부산 중구,광복동,221112,.004,.4,.026,.018,40,28
2020-12-01 17,부산 중구,광복동,221112,.004,.4,.018,.024,39,26
2020-12-01 18,부산 중구,광복동,221112,.003,.5,.009,.028,40,25
2020-12-01 19,부산 중구,광복동,221112,.003,.5,.007,.03,45,20
2020-12-01 20,부산 중구,광복동,221112,.005,.5,.011,.027,38,22
2020-12-01 21,부산 중구,광복동,221112,.004,.4,.016,.02,34,14
2020-12-01 22,부산 중구,광복동,221112,.004,.4,.023,.014,24,13
2020-12-01 23,부산 중구,광복동,221112,.004,.4,.016,.02,23,15
2020-12-01 24,부산 중구,광복동,221112,.004,.4,.021,.014,29,12
2020-12-02 01,부산 중구,광복동,221112,.004,.4,.021,.014,34,25
2020-12-02 02,부산 중구,광복동,221112,.003,.4,.026,.011,26,16
2020-12-02 03,부산 중구,광복동,221112,.004,.4,.021,.013,26,15
2020-12-02 04,부산 중구,광복동,221112,.004,.4,.021,.013,24,14
2020-12-02 05,부산 중구,광복동,221112,.003,.4,.024,.01,23,14
2020-12-02 06,부산 중구,광복동,221112,.003,.4,.024,.01,23,12
2020-12-02 07,부산 중구,광복동,221112,.003,.4,.014,.017,23,13
2020-12-02 08,부산 중구,광복동,221112,.004,.5,.004,.028,28,16
2020-12-02 09,부산 중구,광복동,221112,.003,.5,.009,.024,33,11
2020-12-02 10,부산 중구,광복동,221112,.003,.4,.015,.022,35,18
2020-12-02 11,부산 중구,광복동,221112,.003,.4,.015,.021,35,17
2020-12-02 12,부산 중구,광복동,221112,.003,.4,.015,.021,40,24
2020-12-02 13,부산 중구,광복동,221112,.003,.4,.029,.013,48,25
2020-12-02 14,부산 중구,광복동,221112,,,,,32,18
2020-12-02 15,부산 중구,광복동,221112,.003,.4,.016,.022,38,20
2020-12-02 16,부산 중구,광복동,221112,.003,.4,.017,.02,34,13
2020-12-02 17,부산 중구,광복동,221112,.003,.4,.013,.023,38,23
2020-12-02 18,부산 중구,광복동,221112,.003,.5,.008,.027,47,27
2020-12-02 19,부산 중구,광복동,221112,.003,.5,.005,.029,36,24
2020-12-02 20,부산 중구,광복동,221112,.003,.4,.005,.031,38,22
2020-12-02 21,부산 중구,광복동,221112,.003,.4,.006,.028,38,18
2020-12-02 22,부산 중구,광복동,221112,.003,.4,.009,.026,30,18
2020-12-02 23,부산 중구,광복동,221112,.003,.3,.015,.019,28,16
2020-12-02 24,부산 중구,광복동,221112,.003,.3,.017,.017,24,14
2020-12-03 01,부산 중구,광복동,221112,.003,.3,.019,.015,20,13
2020-12-03 02,부산 중구,광복동,221112,.003,.3,.025,.011,29,18
2020-12-03 03,부산 중구,광복동,221112,.003,.3,.026,.01,22,16
2020-12-03 04,부산 중구,광복동,221112,.003,.3,.025,.01,27,14
2020-12-03 05,부산 중구,광복동,221112,.003,.3,.024,.01,26,14
2020-12-03 06,부산 중구,광복동,221112,.003,.3,.025,.01,26,13
2020-12-03 07,부산 중구,광복동,221112,.003,.4,.026,.01,24,12
2020-12-03 08,부산 중구,광복동,221112,.003,.4,.023,.012,19,12
2020-12-03 09,부산 중구,광복동,221112,.003,.4,.022,.013,28,10
2020-12-03 10,부산 중구,광복동,221112,.003,.4,.026,.011,27,16
2020-12-03 11,부산 중구,광복동,221112,.003,.4,.028,.01,33,25
2020-12-03 12,부산 중구,광복동,221112,.003,.4,.033,.008,34,24
2020-12-03 13,부산 중구,광복동,221112,.003,.4,.036,.007,30,21
2020-12-03 14,부산 중구,광복동,221112,.003,.4,.038,.007,32,9
2020-12-03 15,부산 중구,광복동,221112,.003,.4,.039,.007,30,11
2020-12-03 16,부산 중구,광복동,221112,.003,.4,.039,.008,32,14
2020-12-03 17,부산 중구,광복동,221112,.003,.4,.036,.009,24,18
2020-12-03 18,부산 중구,광복동,221112,.003,.4,.033,.011,28,20
2020-12-03 19,부산 중구,광복동,221112,.003,.5,.026,.015,28,18
2020-12-03 20,부산 중구,광복동,221112,.003,.5,.021,.017,29,25
2020-12-03 21,부산 중구,광복동,221112,.003,.5,.018,.019,29,20
2020-12-03 22,부산 중구,광복동,221112,.003,.4,.026,.012,27,18
2020-12-03 23,부산 중구,광복동,221112,.003,.4,.025,.012,19,14
2020-12-03 24,부산 중구,광복동,221112,.003,.4,.026,.01,25,24
2020-12-04 01,부산 중구,광복동,221112,.003,.4,.026,.01,29,6
2020-12-04 02,부산 중구,광복동,221112,.003,.3,.027,.009,31,17
2020-12-04 03,부산 중구,광복동,221112,.003,.3,.028,.009,21,14
2020-12-04 04,부산 중구,광복동,221112,.003,.3,.029,.008,21,13
2020-12-04 05,부산 중구,광복동,221112,.003,.3,.029,.008,18,12
2020-12-04 06,부산 중구,광복동,221112,.003,.3,.026,.009,23,8
2020-12-04 07,부산 중구,광복동,221112,.003,.4,.019,.015,25,6
2020-12-04 08,부산 중구,광복동,221112,,.4,.014,.018,26,10
2020-12-04 09,부산 중구,광복동,221112,,.4,.014,.019,30,14
2020-12-04 10,부산 중구,광복동,221112,.004,.4,.016,.019,33,15
2020-12-04 11,부산 중구,광복동,221112,.004,.4,.022,.015,43,22
2020-12-04 12,부산 중구,광복동,221112,.003,.4,.023,.015,41,24
2020-12-04 13,부산 중구,광복동,221112,.003,.4,.027,.013,41,16
2020-12-04 14,부산 중구,광복동,221112,.003,.4,.03,.011,33,18
2020-12-04 15,부산 중구,광복동,221112,.003,.3,.031,.011,27,17
2020-12-04 16,부산 중구,광복동,221112,.003,.3,.03,.011,28,16
2020-12-04 17,부산 중구,광복동,221112,.003,.3,.027,.012,32,14
2020-12-04 18,부산 중구,광복동,221112,.003,.4,.022,.016,26,14
