날짜,시도,측정소명,측정소코드,아황산가스,일산화탄소,오존,이산화질소,PM10,PM2.5
2020-07-01 01,부산 중구,광복동,221112,.003,.3,.028,.008,6,4
2020-07-01 02,부산 중구,광복동,221112,.003,.3,.026,.008,7,7
2020-07-01 03,부산 중구,광복동,221112,.004,.4,.024,.009,5,7
2020-07-01 04,부산 중구,광복동,221112,.003,.4,.026,.006,5,2
2020-07-01 05,부산 중구,광복동,221112,.003,.3,.028,.004,5,2
2020-07-01 06,부산 중구,광복동,221112,.002,.3,.025,.005,4,3
2020-07-01 07,부산 중구,광복동,221112,.002,.3,.024,.008,4,3
2020-07-01 08,부산 중구,광복동,221112,.003,.3,.021,.013,6,6
2020-07-01 09,부산 중구,광복동,221112,.003,.3,.019,.012,9,8
2020-07-01 10,부산 중구,광복동,221112,.003,.3,.011,.017,7,4
2020-07-01 11,부산 중구,광복동,221112,.003,.4,.014,.017,4,3
2020-07-01 12,부산 중구,광복동,221112,.004,.3,.018,.016,22,6
2020-07-01 13,부산 중구,광복동,221112,.003,.3,.03,.011,13,9
2020-07-01 14,부산 중구,광복동,221112,.003,.3,.032,.012,12,6
2020-07-01 15,부산 중구,광복동,221112,.003,.3,.034,.013,14,8
2020-07-01 16,부산 중구,광복동,221112,.003,.3,.033,.014,16,8
2020-07-01 17,부산 중구,광복동,221112,.003,.3,.04,.01,10,3
2020-07-01 18,부산 중구,광복동,221112,.003,.3,.038,.013,9,3
2020-07-01 19,부산 중구,광복동,221112,.003,.3,.033,.018,7,5
2020-07-01 20,부산 중구,광복동,221112,.003,.3,.03,.02,8,8
2020-07-01 21,부산 중구,광복동,221112,.003,.3,.03,.019,8,8
2020-07-01 22,부산 중구,광복동,221112,.003,.3,.037,.014,7,10
2020-07-01 23,부산 중구,광복동,221112,.004,.3,.031,.018,18,10
2020-07-01 24,부산 중구,광복동,221112,.004,.3,.024,.02,12,11
2020-07-02 01,부산 중구,광복동,221112,.004,.3,.018,.022,19,11
2020-07-02 02,부산 중구,광복동,221112,.003,.3,.018,.019,20,18
2020-07-02 03,부산 중구,광복동,221112,.004,.3,.017,.017,20,13
2020-07-02 04,부산 중구,광복동,221112,.004,.3,.014,.017,20,12
2020-07-02 05,부산 중구,광복동,221112,.003,.4,.015,.014,22,12
2020-07-02 06,부산 중구,광복동,221112,.004,.4,.007,.019,16,10
2020-07-02 07,부산 중구,광복동,221112,.004,.4,.006,.018,26,8
2020-07-02 08,부산 중구,광복동,221112,.005,.4,.007,.019,28,17
2020-07-02 09,부산 중구,광복동,221112,.004,.4,.01,.022,28,21
2020-07-02 10,부산 중구,광복동,221112,.007,.4,.025,.024,36,23
2020-07-02 11,부산 중구,광복동,221112,.011,.5,.054,.02,44,28
2020-07-02 12,부산 중구,광복동,221112,.006,.4,.054,.011,41,26
2020-07-02 13,부산 중구,광복동,221112,.005,.4,.065,.015,30,19
2020-07-02 14,부산 중구,광복동,221112,.004,.4,.043,.014,38,31
2020-07-02 15,부산 중구,광복동,221112,.003,.3,.035,.013,33,13
2020-07-02 16,부산 중구,광복동,221112,.004,.3,.035,.014,16,11
2020-07-02 17,부산 중구,광복동,221112,.004,.3,.034,.013,17,8
2020-07-02 18,부산 중구,광복동,221112,.003,.3,.03,.012,15,7
2020-07-02 19,부산 중구,광복동,221112,.004,.3,.024,.015,14,8
2020-07-02 20,부산 중구,광복동,221112,.004,.3,.016,.021,12,11
2020-07-02 21,부산 중구,광복동,221112,.004,.3,.014,.025,13,12
2020-07-02 22,부산 중구,광복동,221112,.004,.3,.01,.023,13,
2020-07-02 23,부산 중구,광복동,221112,.004,.3,.007,.023,12,7
2020-07-02 24,부산 중구,광복동,221112,.004,.3,.008,.022,10,9
2020-07-03 01,부산 중구,광복동,221112,.004,.3,.021,.011,9,9
2020-07-03 02,부산 중구,광복동,221112,.006,.3,.026,.01,5,6
2020-07-03 03,부산 중구,광복동,221112,.007,.3,.033,.01,4,5
2020-07-03 04,부산 중구,광복동,221112,.007,.3,.031,.011,9,7
2020-07-03 05,부산 중구,광복동,221112,.005,.3,.027,.012,7,6
2020-07-03 06,부산 중구,광복동,221112,.004,.3,.026,.011,6,8
2020-07-03 07,부산 중구,광복동,221112,.004,.3,.022,.014,10,9
2020-07-03 08,부산 중구,광복동,221112,.004,.3,.02,.015,,7
2020-07-03 09,부산 중구,광복동,221112,.004,.3,.02,.016,16,9
2020-07-03 10,부산 중구,광복동,221112,.004,.3,.018,.016,22,9
2020-07-03 11,부산 중구,광복동,221112,.003,.3,.022,.014,18,5
2020-07-03 12,부산 중구,광복동,221112,.003,.3,.024,.012,21,4
2020-07-03 13,부산 중구,광복동,221112,.002,.3,.026,.01,13,7
2020-07-03 14,부산 중구,광복동,221112,.003,.3,.025,.011,11,9
2020-07-03 15,부산 중구,광복동,221112,.003,.3,.026,.01,16,9
2020-07-03 16,부산 중구,광복동,221112,.003,.3,.026,.009,12,7
2020-07-03 17,부산 중구,광복동,221112,.003,.3,.023,.011,11,2
2020-07-03 18,부산 중구,광복동,221112,.003,.3,.02,.013,14,4
2020-07-03 19,부산 중구,광복동,221112,.003,.3,.016,.015,6,7
2020-07-03 20,부산 중구,광복동,221112,.003,.3,.02,.012,9,6
2020-07-03 21,부산 중구,광복동,221112,.003,.3,.022,.009,15,7
2020-07-03 22,부산 중구,광복동,221112,.004,.3,.02,.01,12,17
2020-07-03 23,부산 중구,광복동,221112,.003,.3,.02,.007,15,12
2020-07-03 24,부산 중구,광복동,221112,.002,.3,.021,.006,7,9
2020-07-04 01,부산 중구,광복동,221112,.002,.3,.022,.005,7,5
2020-07-04 02,부산 중구,광복동,221112,.002,.3,.028,.004,8,6
2020-07-04 03,부산 중구,광복동,221112,.002,.3,.029,.004,6,3
2020-07-04 04,부산 중구,광복동,221112,.002,.3,.03,.004,2,2
2020-07-04 05,부산 중구,광복동,221112,.002,.3,.029,.005,2,2
2020-07-04 06,부산 중구,광복동,221112,.002,.3,.028,.005,2,6
2020-07-04 07,부산 중구,광복동,221112,.002,.3,.025,.009,5,6
2020-07-04 08,부산 중구,광복동,221112,.002,.3,.024,.009,8,6
2020-07-04 09,부산 중구,광복동,221112,.002,.3,.028,.008,8,6
2020-07-04 10,부산 중구,광복동,221112,.002,.3,.033,.006,8,3
2020-07-04 11,부산 중구,광복동,221112,.002,.3,.034,.007,5,2
2020-07-04 12,부산 중구,광복동,221112,.003,.3,.035,.011,5,5
2020-07-04 13,부산 중구,광복동,221112,.003,.3,.032,.011,9,9
2020-07-04 14,부산 중구,광복동,221112,.003,.3,.027,.013,12,11
2020-07-04 15,부산 중구,광복동,221112,.003,.3,.021,.014,19,10
2020-07-04 16,부산 중구,광복동,221112,.003,.3,.022,.013,11,10
2020-07-04 17,부산 중구,광복동,221112,.003,.3,.02,.015,18,11
2020-07-04 18,부산 중구,광복동,221112,.003,.3,.022,.013,6,6
2020-07-04 19,부산 중구,광복동,221112,.003,.3,.021,.015,7,3
2020-07-04 20,부산 중구,광복동,221112,.005,.3,.014,.02,8,7
2020-07-04 21,부산 중구,광복동,221112,.008,.3,.008,.023,10,11
2020-07-04 22,부산 중구,광복동,221112,.009,.4,.006,.025,21,12
2020-07-04 23,부산 중구,광복동,221112,.006,.3,.015,.023,28,17
2020-07-04 24,부산 중구,광복동,221112,.005,.3,.022,.019,14,2
2020-07-05 01,부산 중구,광복동,221112,.005,.3,.021,.019,7,2
2020-07-05 02,부산 중구,광복동,221112,.004,.3,.022,.016,6,2
2020-07-05 03,부산 중구,광복동,221112,.004,.3,.023,.013,7,2
