날짜,시도,측정소명,측정소코드,아황산가스,일산화탄소,오존,이산화질소,PM10,PM2.5
2020-03-01 01,부산 중구,광복동,221112,.004,.4,.031,.009,23,8
2020-03-01 02,부산 중구,광복동,221112,.005,.4,.032,.008,25,10
2020-03-01 03,부산 중구,광복동,221112,.006,.4,.032,.008,19,11
2020-03-01 04,부산 중구,광복동,221112,.007,.4,.033,.007,22,9
2020-03-01 05,부산 중구,광복동,221112,.006,.4,.033,.007,24,10
2020-03-01 06,부산 중구,광복동,221112,.006,.4,.032,.008,21,11
2020-03-01 07,부산 중구,광복동,221112,.006,.4,.033,.008,21,9
2020-03-01 08,부산 중구,광복동,221112,.005,.4,.026,.013,19,11
2020-03-01 09,부산 중구,광복동,221112,.004,.4,.022,.017,21,13
2020-03-01 10,부산 중구,광복동,221112,.004,.4,.03,.012,24,14
2020-03-01 11,부산 중구,광복동,221112,.004,.4,.037,.009,27,20
2020-03-01 12,부산 중구,광복동,221112,.003,.4,.041,.007,27,19
2020-03-01 13,부산 중구,광복동,221112,.003,.3,.043,.006,19,20
2020-03-01 14,부산 중구,광복동,221112,.003,.3,.043,.006,17,13
2020-03-01 15,부산 중구,광복동,221112,.003,.3,.045,.006,16,13
2020-03-01 16,부산 중구,광복동,221112,.003,.3,.044,.007,25,12
2020-03-01 17,부산 중구,광복동,221112,.003,.3,.043,.007,21,12
2020-03-01 18,부산 중구,광복동,221112,.003,.3,.042,.008,17,15
2020-03-01 19,부산 중구,광복동,221112,.003,.4,.039,.009,22,10
2020-03-01 20,부산 중구,광복동,221112,.003,.4,.033,.013,15,8
2020-03-01 21,부산 중구,광복동,221112,.003,.4,.028,.014,27,8
2020-03-01 22,부산 중구,광복동,221112,.003,.4,.03,.012,19,8
2020-03-01 23,부산 중구,광복동,221112,.003,.4,.024,.016,17,6
2020-03-01 24,부산 중구,광복동,221112,.003,.4,.022,.016,21,8
2020-03-02 01,부산 중구,광복동,221112,.003,.4,.027,.013,19,10
2020-03-02 02,부산 중구,광복동,221112,.003,.4,.025,.014,21,9
2020-03-02 03,부산 중구,광복동,221112,.003,.4,.03,.008,22,10
2020-03-02 04,부산 중구,광복동,221112,.002,.5,.042,.004,25,13
2020-03-02 05,부산 중구,광복동,221112,.002,.5,.041,.004,23,10
2020-03-02 06,부산 중구,광복동,221112,.002,.5,.04,.004,31,17
2020-03-02 07,부산 중구,광복동,221112,.002,.5,.037,.006,27,18
2020-03-02 08,부산 중구,광복동,221112,.002,.5,.032,.009,32,20
2020-03-02 09,부산 중구,광복동,221112,.002,.5,.029,.01,32,25
2020-03-02 10,부산 중구,광복동,221112,.002,.5,.03,.009,31,23
2020-03-02 11,부산 중구,광복동,221112,.002,.4,.035,.007,34,22
2020-03-02 12,부산 중구,광복동,221112,.002,.4,.038,.005,31,20
2020-03-02 13,부산 중구,광복동,221112,.002,.4,.04,.006,34,15
2020-03-02 14,부산 중구,광복동,221112,.002,.4,.041,.006,30,21
2020-03-02 15,부산 중구,광복동,221112,.002,.4,.041,.006,35,19
2020-03-02 16,부산 중구,광복동,221112,,,,,20,
2020-03-02 17,부산 중구,광복동,221112,.003,.4,.043,.009,30,
2020-03-02 18,부산 중구,광복동,221112,.004,.4,.043,.01,29,
2020-03-02 19,부산 중구,광복동,221112,.004,.4,.034,.015,38,28
2020-03-02 20,부산 중구,광복동,221112,.003,.4,.037,.012,38,17
2020-03-02 21,부산 중구,광복동,221112,.003,.4,.029,.013,30,20
2020-03-02 22,부산 중구,광복동,221112,.004,.4,.028,.012,25,14
2020-03-02 23,부산 중구,광복동,221112,.006,.4,.024,.013,21,12
2020-03-02 24,부산 중구,광복동,221112,.005,.4,.025,.012,22,10
2020-03-03 01,부산 중구,광복동,221112,.004,.4,.027,.01,23,11
2020-03-03 02,부산 중구,광복동,221112,.003,.4,.03,.008,19,8
2020-03-03 03,부산 중구,광복동,221112,.003,.4,.032,.006,15,2
2020-03-03 04,부산 중구,광복동,221112,.002,.3,.031,.006,15,2
2020-03-03 05,부산 중구,광복동,221112,.003,.3,.03,.006,13,3
2020-03-03 06,부산 중구,광복동,221112,.003,.3,.029,.007,16,3
2020-03-03 07,부산 중구,광복동,221112,.003,.4,.026,.01,14,5
2020-03-03 08,부산 중구,광복동,221112,.003,.4,.023,.012,15,5
2020-03-03 09,부산 중구,광복동,221112,.003,.4,.022,.014,13,6
2020-03-03 10,부산 중구,광복동,221112,.003,.4,.022,.014,17,8
2020-03-03 11,부산 중구,광복동,221112,.003,.3,.028,.012,22,8
2020-03-03 12,부산 중구,광복동,221112,.003,.3,.033,.008,18,8
2020-03-03 13,부산 중구,광복동,221112,.003,.3,.036,.006,22,9
2020-03-03 14,부산 중구,광복동,221112,.003,.3,.034,.007,18,10
2020-03-03 15,부산 중구,광복동,221112,.003,.3,.034,.008,19,10
2020-03-03 16,부산 중구,광복동,221112,.003,.3,.034,.008,13,7
2020-03-03 17,부산 중구,광복동,221112,.003,.3,.033,.009,13,8
2020-03-03 18,부산 중구,광복동,221112,.003,.3,.034,.008,15,9
2020-03-03 19,부산 중구,광복동,221112,.003,.3,.028,.012,13,6
2020-03-03 20,부산 중구,광복동,221112,.002,.4,.029,.012,12,2
2020-03-03 21,부산 중구,광복동,221112,.003,.4,.018,.021,11,2
2020-03-03 22,부산 중구,광복동,221112,.003,.4,.014,.023,12,4
2020-03-03 23,부산 중구,광복동,221112,.002,.4,.022,.016,12,7
2020-03-03 24,부산 중구,광복동,221112,.002,.4,.028,.011,11,6
2020-03-04 01,부산 중구,광복동,221112,.002,.3,.03,.009,13,7
2020-03-04 02,부산 중구,광복동,221112,.002,.4,.026,.012,13,7
2020-03-04 03,부산 중구,광복동,221112,.002,.3,.026,.01,15,
2020-03-04 04,부산 중구,광복동,221112,.002,.4,.017,.015,11,
2020-03-04 05,부산 중구,광복동,221112,.002,.3,.023,.011,18,
2020-03-04 06,부산 중구,광복동,221112,.002,.3,.025,.011,10,8
2020-03-04 07,부산 중구,광복동,221112,.003,.4,.02,.015,10,9
2020-03-04 08,부산 중구,광복동,221112,.003,.4,.02,.014,24,10
2020-03-04 09,부산 중구,광복동,221112,.002,.4,.027,.01,26,11
2020-03-04 10,부산 중구,광복동,221112,.002,.4,.026,.01,24,14
2020-03-04 11,부산 중구,광복동,221112,.002,.4,.033,.008,39,21
2020-03-04 12,부산 중구,광복동,221112,.002,.4,.037,.008,45,24
2020-03-04 13,부산 중구,광복동,221112,.002,.4,.038,.007,37,17
2020-03-04 14,부산 중구,광복동,221112,.002,.4,.039,.007,30,18
2020-03-04 15,부산 중구,광복동,221112,.002,.4,.04,.006,35,17
2020-03-04 16,부산 중구,광복동,221112,.002,.4,.04,.006,30,14
2020-03-04 17,부산 중구,광복동,221112,.002,.4,.041,.006,33,16
2020-03-04 18,부산 중구,광복동,221112,.002,.3,.04,.006,30,17
2020-03-04 19,부산 중구,광복동,221112,.002,.3,.038,.006,24,11
2020-03-04 20,부산 중구,광복동,221112,.002,.3,.036,.006,14,6
2020-03-04 21,부산 중구,광복동,221112,.002,.3,.036,.005,16,
2020-03-04 22,부산 중구,광복동,221112,.002,.4,.036,.006,11,
2020-03-04 23,부산 중구,광복동,221112,.002,.3,.037,.005,26,10
2020-03-04 24,부산 중구,광복동,221112,.002,.3,.036,.005,22,12
2020-03-05 01,부산 중구,광복동,221112,.002,.3,.037,.004,26,10
2020-03-05 02,부산 중구,광복동,221112,.002,.4,.038,.004,20,10
2020-03-05 03,부산 중구,광복동,221112,.002,.4,.038,.004,20,11
2020-03-05 04,부산 중구,광복동,221112,.002,.4,.037,.004,22,12
2020-03-05 05,부산 중구,광복동,221112,.002,.4,.037,.004,27,20
2020-03-05 06,부산 중구,광복동,221112,.002,.4,.037,.005,26,18
2020-03-05 07,부산 중구,광복동,221112,.003,.4,.038,.006,38,24
2020-03-05 08,부산 중구,광복동,221112,.003,.5,.035,.009,46,30
2020-03-05 09,부산 중구,광복동,221112,.003,.5,.035,.009,43,31
2020-03-05 10,부산 중구,광복동,221112,.003,.5,.035,.01,46,30
2020-03-05 11,부산 중구,광복동,221112,.003,.5,.038,.008,51,30
2020-03-05 12,부산 중구,광복동,221112,.003,.4,.039,.008,49,37
2020-03-05 13,부산 중구,광복동,221112,.003,.4,.042,.008,48,36
2020-03-05 14,부산 중구,광복동,221112,.003,.4,.045,.007,53,34
2020-03-05 15,부산 중구,광복동,221112,.003,.4,.044,.008,48,33
2020-03-05 16,부산 중구,광복동,221112,.003,.4,.043,.01,41,35
2020-03-05 17,부산 중구,광복동,221112,.003,.4,.039,.013,38,36
2020-03-05 18,부산 중구,광복동,221112,.003,.5,.035,.016,37,37
2020-03-05 19,부산 중구,광복동,221112,.003,.5,.035,.017,40,31
2020-03-05 20,부산 중구,광복동,221112,.003,.5,.033,.018,35,25
2020-03-05 21,부산 중구,광복동,221112,.003,.5,.019,.027,35,28
2020-03-05 22,부산 중구,광복동,221112,.003,.5,.018,.027,37,28
2020-03-05 23,부산 중구,광복동,221112,.003,.5,.014,.029,33,23
2020-03-05 24,부산 중구,광복동,221112,.004,.6,.012,.03,38,25
2020-03-06 01,부산 중구,광복동,221112,.004,.5,.014,.027,40,23
2020-03-06 02,부산 중구,광복동,221112,.003,.5,.02,.019,39,24
2020-03-06 03,부산 중구,광복동,221112,.003,.4,.021,.018,32,22
2020-03-06 04,부산 중구,광복동,221112,.003,.5,.017,.02,37,20
2020-03-06 05,부산 중구,광복동,221112,.003,.5,.021,.017,33,21
2020-03-06 06,부산 중구,광복동,221112,.003,.5,.005,.03,32,22
2020-03-06 07,부산 중구,광복동,221112,.003,.5,.013,.026,40,26
2020-03-06 08,부산 중구,광복동,221112,.004,.5,.007,.028,34,22
2020-03-06 09,부산 중구,광복동,221112,.007,.6,.007,.039,49,25
2020-03-06 10,부산 중구,광복동,221112,.003,.4,.034,.018,71,40
2020-03-06 11,부산 중구,광복동,221112,.003,.4,.038,.009,26,24
2020-03-06 12,부산 중구,광복동,221112,.003,.4,.034,.013,35,23
2020-03-06 13,부산 중구,광복동,221112,.003,.4,.04,.011,38,29
2020-03-06 14,부산 중구,광복동,221112,.003,.4,.042,.01,30,26
2020-03-06 15,부산 중구,광복동,221112,.003,.4,.044,.011,36,24
2020-03-06 16,부산 중구,광복동,221112,.003,.4,.045,.01,30,24
2020-03-06 17,부산 중구,광복동,221112,.003,.4,.043,.01,25,21
2020-03-06 18,부산 중구,광복동,221112,.003,.4,.04,.011,22,12
2020-03-06 19,부산 중구,광복동,221112,.003,.4,.035,.015,19,11
2020-03-06 20,부산 중구,광복동,221112,.004,.4,.033,.015,18,9
2020-03-06 21,부산 중구,광복동,221112,.004,.4,.029,.018,15,9
2020-03-06 22,부산 중구,광복동,221112,.003,.4,.034,.014,20,10
2020-03-06 23,부산 중구,광복동,221112,.005,.4,.029,.016,15,8
2020-03-06 24,부산 중구,광복동,221112,.005,.4,.023,.02,14,9
2020-03-07 01,부산 중구,광복동,221112,.004,.4,.029,.014,21,14
2020-03-07 02,부산 중구,광복동,221112,.003,.4,.036,.01,19,9
2020-03-07 03,부산 중구,광복동,221112,.002,.3,.034,.01,20,8
2020-03-07 04,부산 중구,광복동,221112,.002,.4,.026,.014,20,10
2020-03-07 05,부산 중구,광복동,221112,.002,.4,.023,.015,22,11
2020-03-07 06,부산 중구,광복동,221112,.003,.5,.006,.029,17,12
2020-03-07 07,부산 중구,광복동,221112,.003,.5,.003,.034,24,17
2020-03-07 08,부산 중구,광복동,221112,.004,.5,.003,.036,25,13
2020-03-07 09,부산 중구,광복동,221112,.005,.6,.003,.04,35,14
2020-03-07 10,부산 중구,광복동,221112,.004,.5,.003,.053,54,29
2020-03-07 11,부산 중구,광복동,221112,.004,.5,.004,.052,57,24
2020-03-07 12,부산 중구,광복동,221112,.003,.5,.006,.051,52,26
2020-03-07 13,부산 중구,광복동,221112,.003,.4,.019,.036,40,23
2020-03-07 14,부산 중구,광복동,221112,.003,.3,.033,.016,22,15
2020-03-07 15,부산 중구,광복동,221112,.003,.3,.035,.013,19,15
2020-03-07 16,부산 중구,광복동,221112,.004,.4,.038,.014,15,15
2020-03-07 17,부산 중구,광복동,221112,.003,.4,.036,.014,17,17
2020-03-07 18,부산 중구,광복동,221112,.003,.4,.027,.02,19,15
2020-03-07 19,부산 중구,광복동,221112,.003,.5,.031,.015,24,23
2020-03-07 20,부산 중구,광복동,221112,.003,.5,.03,.014,23,20
2020-03-07 21,부산 중구,광복동,221112,.002,.4,.031,.013,21,20
2020-03-07 22,부산 중구,광복동,221112,.002,.4,.022,.015,21,19
2020-03-07 23,부산 중구,광복동,221112,.002,.4,.025,.012,35,30
2020-03-07 24,부산 중구,광복동,221112,.002,.4,.022,.011,24,26
2020-03-08 01,부산 중구,광복동,221112,.002,.4,.021,.01,31,26
2020-03-08 02,부산 중구,광복동,221112,.002,.4,.021,.009,31,26
2020-03-08 03,부산 중구,광복동,221112,.002,.4,.021,.009,34,25
2020-03-08 04,부산 중구,광복동,221112,.002,.4,.022,.008,30,
2020-03-08 05,부산 중구,광복동,221112,.002,.4,.023,.009,25,
2020-03-08 06,부산 중구,광복동,221112,.002,.4,.032,.007,23,
2020-03-08 07,부산 중구,광복동,221112,.002,.4,.021,.012,16,
2020-03-08 08,부산 중구,광복동,221112,.003,.4,.024,.013,16,
2020-03-08 09,부산 중구,광복동,221112,.003,.4,.031,.007,19,
2020-03-08 10,부산 중구,광복동,221112,.003,.4,.035,.008,24,
2020-03-08 11,부산 중구,광복동,221112,.003,.4,.04,.007,23,
2020-03-08 12,부산 중구,광복동,221112,.003,.4,.044,.006,22,
2020-03-08 13,부산 중구,광복동,221112,.005,.4,.046,.008,30,
2020-03-08 14,부산 중구,광복동,221112,.003,.4,.046,.008,29,
2020-03-08 15,부산 중구,광복동,221112,.003,.3,.046,.008,28,
2020-03-08 16,부산 중구,광복동,221112,.003,.3,.045,.008,26,
2020-03-08 17,부산 중구,광복동,221112,.003,.3,.044,.009,25,16
2020-03-08 18,부산 중구,광복동,221112,.003,.3,.041,.01,22,17
2020-03-08 19,부산 중구,광복동,221112,.003,.4,.038,.011,24,13
2020-03-08 20,부산 중구,광복동,221112,.003,.4,.04,.009,26,12
2020-03-08 21,부산 중구,광복동,221112,.003,.4,.034,.013,19,10
2020-03-08 22,부산 중구,광복동,221112,.003,.4,.031,.015,21,6
2020-03-08 23,부산 중구,광복동,221112,.003,.4,.03,.015,21,7
2020-03-08 24,부산 중구,광복동,221112,.003,.4,.033,.012,26,9
2020-03-09 01,부산 중구,광복동,221112,.004,.4,.034,.01,27,9
2020-03-09 02,부산 중구,광복동,221112,.003,.4,.036,.008,25,9
2020-03-09 03,부산 중구,광복동,221112,.003,.4,.029,.011,18,10
