날짜,시도,측정소명,측정소코드,아황산가스,일산화탄소,오존,이산화질소,PM10,PM2.5
2020-05-01 01,부산 중구,광복동,221112,.003,.4,.043,.006,32,16
2020-05-01 02,부산 중구,광복동,221112,.003,.3,.041,.007,28,20
2020-05-01 03,부산 중구,광복동,221112,.003,.3,.037,.008,35,16
2020-05-01 04,부산 중구,광복동,221112,.003,.4,.04,.007,34,16
2020-05-01 05,부산 중구,광복동,221112,.003,.3,.039,.008,32,23
2020-05-01 06,부산 중구,광복동,221112,.003,.4,.037,.009,34,20
2020-05-01 07,부산 중구,광복동,221112,.003,.4,.045,.006,35,16
2020-05-01 08,부산 중구,광복동,221112,.003,.4,.043,.008,41,21
2020-05-01 09,부산 중구,광복동,221112,.003,.4,.043,.008,39,20
2020-05-01 10,부산 중구,광복동,221112,.003,.4,.04,.011,44,18
2020-05-01 11,부산 중구,광복동,221112,.003,.4,.041,.011,43,23
2020-05-01 12,부산 중구,광복동,221112,.003,.4,.048,.008,47,27
2020-05-01 13,부산 중구,광복동,221112,.003,.4,.049,.008,41,25
2020-05-01 14,부산 중구,광복동,221112,.003,.4,.049,.008,44,22
2020-05-01 15,부산 중구,광복동,221112,.003,.4,.049,.008,42,23
2020-05-01 16,부산 중구,광복동,221112,.003,.4,.048,.009,43,25
2020-05-01 17,부산 중구,광복동,221112,.003,.4,.048,.007,44,27
2020-05-01 18,부산 중구,광복동,221112,.003,.4,.045,.008,41,22
2020-05-01 19,부산 중구,광복동,221112,.003,.4,.041,.01,43,27
2020-05-01 20,부산 중구,광복동,221112,.003,.5,.035,.013,44,20
2020-05-01 21,부산 중구,광복동,221112,.003,.4,.035,.012,37,27
2020-05-01 22,부산 중구,광복동,221112,.003,.4,.036,.01,44,24
2020-05-01 23,부산 중구,광복동,221112,.003,.4,.039,.008,45,34
2020-05-01 24,부산 중구,광복동,221112,.003,.4,.038,.008,42,26
2020-05-02 01,부산 중구,광복동,221112,.003,.4,.037,.008,35,23
2020-05-02 02,부산 중구,광복동,221112,.003,.4,.038,.007,36,28
2020-05-02 03,부산 중구,광복동,221112,.003,.4,.031,.011,39,25
2020-05-02 04,부산 중구,광복동,221112,.003,.4,.027,.012,39,28
2020-05-02 05,부산 중구,광복동,221112,.003,.4,.034,.008,44,27
2020-05-02 06,부산 중구,광복동,221112,.003,.3,.038,.005,34,24
2020-05-02 07,부산 중구,광복동,221112,.003,.3,.036,.007,35,25
2020-05-02 08,부산 중구,광복동,221112,.003,.4,.037,.007,37,24
2020-05-02 09,부산 중구,광복동,221112,.003,.4,.036,.009,38,18
2020-05-02 10,부산 중구,광복동,221112,.003,.4,.032,.012,36,19
2020-05-02 11,부산 중구,광복동,221112,.003,.4,.037,.01,38,25
2020-05-02 12,부산 중구,광복동,221112,.003,.4,.036,.009,36,25
2020-05-02 13,부산 중구,광복동,221112,.003,.3,.031,.011,41,28
2020-05-02 14,부산 중구,광복동,221112,.003,.4,.035,.011,25,22
2020-05-02 15,부산 중구,광복동,221112,.003,.4,.035,.014,33,26
2020-05-02 16,부산 중구,광복동,221112,.003,.4,.037,.012,50,31
2020-05-02 17,부산 중구,광복동,221112,.003,.4,.033,.012,38,24
2020-05-02 18,부산 중구,광복동,221112,.003,.4,.026,.014,32,15
2020-05-02 19,부산 중구,광복동,221112,.003,.4,.026,.013,38,25
2020-05-02 20,부산 중구,광복동,221112,.003,.4,.027,.012,34,24
2020-05-02 21,부산 중구,광복동,221112,.003,.4,.023,.013,32,27
2020-05-02 22,부산 중구,광복동,221112,.003,.4,.019,.014,36,26
2020-05-02 23,부산 중구,광복동,221112,.003,.4,.02,.013,33,24
2020-05-02 24,부산 중구,광복동,221112,.003,.4,.027,.01,32,22
2020-05-03 01,부산 중구,광복동,221112,.003,.4,.033,.006,25,21
2020-05-03 02,부산 중구,광복동,221112,.003,.3,.027,.009,26,21
2020-05-03 03,부산 중구,광복동,221112,.003,.3,.02,.012,29,24
2020-05-03 04,부산 중구,광복동,221112,.003,.3,.022,.01,30,22
2020-05-03 05,부산 중구,광복동,221112,.003,.3,.025,.008,25,25
2020-05-03 06,부산 중구,광복동,221112,.004,.3,.027,.007,29,20
2020-05-03 07,부산 중구,광복동,221112,.004,.3,.022,.01,23,19
2020-05-03 08,부산 중구,광복동,221112,.005,.3,.024,.01,27,20
2020-05-03 09,부산 중구,광복동,221112,.005,.3,.031,.009,26,14
2020-05-03 10,부산 중구,광복동,221112,.006,.3,.027,.012,24,18
2020-05-03 11,부산 중구,광복동,221112,.005,.4,.024,.013,24,24
2020-05-03 12,부산 중구,광복동,221112,.005,.3,.033,.014,32,35
2020-05-03 13,부산 중구,광복동,221112,.006,.4,.034,.012,35,23
2020-05-03 14,부산 중구,광복동,221112,.007,.4,.036,.012,38,24
2020-05-03 15,부산 중구,광복동,221112,.006,.4,.036,.011,37,25
2020-05-03 16,부산 중구,광복동,221112,.005,.4,.033,.012,42,28
2020-05-03 17,부산 중구,광복동,221112,.005,.4,.03,.012,35,25
2020-05-03 18,부산 중구,광복동,221112,.004,.4,.024,.015,32,22
2020-05-03 19,부산 중구,광복동,221112,.004,.4,.022,.016,35,20
2020-05-03 20,부산 중구,광복동,221112,.004,.4,.023,.014,31,24
2020-05-03 21,부산 중구,광복동,221112,.003,.4,.011,.019,31,19
2020-05-03 22,부산 중구,광복동,221112,.004,.4,.01,.02,10,12
2020-05-03 23,부산 중구,광복동,221112,.004,.4,.016,.015,11,12
2020-05-03 24,부산 중구,광복동,221112,.003,.4,.017,.014,8,9
2020-05-04 01,부산 중구,광복동,221112,.004,.4,.008,.019,6,8
2020-05-04 02,부산 중구,광복동,221112,.004,.4,.005,.02,10,
2020-05-04 03,부산 중구,광복동,221112,.005,.4,.005,.021,12,11
2020-05-04 04,부산 중구,광복동,221112,.004,.4,.011,.015,18,18
2020-05-04 05,부산 중구,광복동,221112,.004,.4,.014,.014,20,15
2020-05-04 06,부산 중구,광복동,221112,.004,.4,.015,.013,23,14
2020-05-04 07,부산 중구,광복동,221112,.004,.4,.007,.015,21,13
2020-05-04 08,부산 중구,광복동,221112,.004,.4,.016,.012,32,27
2020-05-04 09,부산 중구,광복동,221112,.003,.4,.024,.006,25,15
2020-05-04 10,부산 중구,광복동,221112,.003,.4,.028,.006,20,16
2020-05-04 11,부산 중구,광복동,221112,.003,.4,.035,.006,20,20
2020-05-04 12,부산 중구,광복동,221112,.003,.4,.033,.01,25,23
2020-05-04 13,부산 중구,광복동,221112,.003,.4,.029,.012,32,28
2020-05-04 14,부산 중구,광복동,221112,.003,.4,.032,.01,30,26
2020-05-04 15,부산 중구,광복동,221112,.003,.4,.029,.012,34,24
2020-05-04 16,부산 중구,광복동,221112,.003,.4,.037,.016,43,25
2020-05-04 17,부산 중구,광복동,221112,.004,.4,.058,.013,40,29
2020-05-04 18,부산 중구,광복동,221112,.004,.5,.051,.017,35,28
2020-05-04 19,부산 중구,광복동,221112,.004,.5,.037,.02,41,33
2020-05-04 20,부산 중구,광복동,221112,.004,.4,.031,.017,41,28
2020-05-04 21,부산 중구,광복동,221112,.004,.4,.042,.011,36,34
2020-05-04 22,부산 중구,광복동,221112,.005,.4,.032,.012,37,20
2020-05-04 23,부산 중구,광복동,221112,.005,.4,.028,.013,36,23
2020-05-04 24,부산 중구,광복동,221112,.004,.4,.029,.01,25,23
2020-05-05 01,부산 중구,광복동,221112,.004,.4,.028,.01,23,15
2020-05-05 02,부산 중구,광복동,221112,.005,.4,.026,.011,22,13
2020-05-05 03,부산 중구,광복동,221112,.006,.4,.024,.011,25,15
2020-05-05 04,부산 중구,광복동,221112,.006,.4,.022,.012,27,15
2020-05-05 05,부산 중구,광복동,221112,.006,.4,.026,.01,28,16
2020-05-05 06,부산 중구,광복동,221112,.006,.4,.029,.008,25,16
2020-05-05 07,부산 중구,광복동,221112,.006,.4,.022,.012,25,16
2020-05-05 08,부산 중구,광복동,221112,.005,.4,.026,.01,28,13
2020-05-05 09,부산 중구,광복동,221112,.004,.3,.028,.009,24,11
2020-05-05 10,부산 중구,광복동,221112,.003,.3,.029,.009,17,8
2020-05-05 11,부산 중구,광복동,221112,.003,.3,.031,.008,25,8
2020-05-05 12,부산 중구,광복동,221112,.003,.3,.033,.008,25,6
2020-05-05 13,부산 중구,광복동,221112,.003,.3,.038,.007,16,8
2020-05-05 14,부산 중구,광복동,221112,.003,.3,.037,.008,15,10
2020-05-05 15,부산 중구,광복동,221112,.003,.4,.032,.013,17,12
2020-05-05 16,부산 중구,광복동,221112,.003,.4,.031,.014,16,12
2020-05-05 17,부산 중구,광복동,221112,.003,.4,.03,.012,25,10
2020-05-05 18,부산 중구,광복동,221112,.004,.4,.022,.017,22,12
2020-05-05 19,부산 중구,광복동,221112,.004,.4,.026,.014,26,8
2020-05-05 20,부산 중구,광복동,221112,.003,.3,.033,.01,21,8
2020-05-05 21,부산 중구,광복동,221112,.003,.3,.034,.009,22,10
2020-05-05 22,부산 중구,광복동,221112,.003,.3,.03,.011,12,4
2020-05-05 23,부산 중구,광복동,221112,.003,.3,.029,.012,12,6
2020-05-05 24,부산 중구,광복동,221112,.003,.3,.029,.01,16,9
2020-05-06 01,부산 중구,광복동,221112,.003,.4,.028,.009,21,9
2020-05-06 02,부산 중구,광복동,221112,.003,.4,.019,.011,19,11
2020-05-06 03,부산 중구,광복동,221112,.003,.4,.018,.011,26,13
2020-05-06 04,부산 중구,광복동,221112,.004,.4,.006,.018,26,14
2020-05-06 05,부산 중구,광복동,221112,.004,.4,.015,.014,27,19
2020-05-06 06,부산 중구,광복동,221112,.003,.4,.016,.013,30,19
2020-05-06 07,부산 중구,광복동,221112,.005,.4,.005,.015,22,21
2020-05-06 08,부산 중구,광복동,221112,.003,.4,.018,.015,28,20
2020-05-06 09,부산 중구,광복동,221112,.004,.4,.024,.016,27,15
2020-05-06 10,부산 중구,광복동,221112,.004,.4,.026,.016,24,14
2020-05-06 11,부산 중구,광복동,221112,.004,.4,.033,.013,44,22
2020-05-06 12,부산 중구,광복동,221112,,,,,,
2020-05-06 13,부산 중구,광복동,221112,,,,,,
2020-05-06 14,부산 중구,광복동,221112,,,,,,
2020-05-06 15,부산 중구,광복동,221112,,,,,,
2020-05-06 16,부산 중구,광복동,221112,,,,,,
2020-05-06 17,부산 중구,광복동,221112,,,,,,
2020-05-06 18,부산 중구,광복동,221112,,,,,,
