날짜,시도,측정소명,측정소코드,아황산가스,일산화탄소,오존,이산화질소,PM10,PM2.5
2020-11-01 01,부산 중구,광복동,221112,.003,.4,.014,.019,20,7
2020-11-01 02,부산 중구,광복동,221112,.002,.4,.019,.014,16,8
2020-11-01 03,부산 중구,광복동,221112,.003,.5,.006,.024,14,4
2020-11-01 04,부산 중구,광복동,221112,.004,.5,.004,.028,16,7
2020-11-01 05,부산 중구,광복동,221112,.003,.4,.015,.017,24,13
2020-11-01 06,부산 중구,광복동,221112,.002,.3,.025,.011,15,8
2020-11-01 07,부산 중구,광복동,221112,.003,.4,.02,.014,22,2
2020-11-01 08,부산 중구,광복동,221112,.002,.3,.028,.01,14,6
2020-11-01 09,부산 중구,광복동,221112,.002,.4,.024,.013,17,9
2020-11-01 10,부산 중구,광복동,221112,.002,.4,.021,.014,15,10
2020-11-01 11,부산 중구,광복동,221112,.002,.4,.03,.01,23,10
2020-11-01 12,부산 중구,광복동,221112,.003,.4,.026,.013,21,7
2020-11-01 13,부산 중구,광복동,221112,.003,.4,.034,.01,24,9
2020-11-01 14,부산 중구,광복동,221112,.003,.4,.034,.01,22,10
2020-11-01 15,부산 중구,광복동,221112,.003,.4,.027,.014,22,10
2020-11-01 16,부산 중구,광복동,221112,.003,.4,.026,.014,27,12
2020-11-01 17,부산 중구,광복동,221112,.003,.5,.025,.014,26,11
2020-11-01 18,부산 중구,광복동,221112,.004,.6,.023,.015,28,11
2020-11-01 19,부산 중구,광복동,221112,.004,.6,.024,.014,27,15
2020-11-01 20,부산 중구,광복동,221112,.004,.6,.028,.013,23,19
2020-11-01 21,부산 중구,광복동,221112,.003,.5,.031,.01,27,16
2020-11-01 22,부산 중구,광복동,221112,.003,.5,.029,.011,25,14
2020-11-01 23,부산 중구,광복동,221112,.004,.6,.018,.017,23,12
2020-11-01 24,부산 중구,광복동,221112,.003,.5,.017,.016,33,17
2020-11-02 01,부산 중구,광복동,221112,.003,.4,.028,.009,31,22
2020-11-02 02,부산 중구,광복동,221112,.003,.4,.03,.007,18,19
2020-11-02 03,부산 중구,광복동,221112,.003,.4,.03,.006,20,14
2020-11-02 04,부산 중구,광복동,221112,.002,.4,.031,.006,21,12
2020-11-02 05,부산 중구,광복동,221112,.002,.3,.034,.005,17,15
2020-11-02 06,부산 중구,광복동,221112,.002,.3,.03,.007,18,4
2020-11-02 07,부산 중구,광복동,221112,.002,.4,.027,.01,18,9
2020-11-02 08,부산 중구,광복동,221112,.002,.4,.023,.013,16,11
2020-11-02 09,부산 중구,광복동,221112,.002,.4,.012,.021,16,8
2020-11-02 10,부산 중구,광복동,221112,.003,.4,.02,.015,42,12
2020-11-02 11,부산 중구,광복동,221112,.003,.4,.016,.017,72,24
2020-11-02 12,부산 중구,광복동,221112,.003,.4,.021,.015,82,25
2020-11-02 13,부산 중구,광복동,221112,.003,.4,.021,.015,94,29
2020-11-02 14,부산 중구,광복동,221112,.003,.4,.028,.012,89,32
2020-11-02 15,부산 중구,광복동,221112,.004,.4,.032,.013,86,20
2020-11-02 16,부산 중구,광복동,221112,.003,.4,.034,.01,79,19
2020-11-02 17,부산 중구,광복동,221112,.003,.4,.033,.011,69,20
2020-11-02 18,부산 중구,광복동,221112,.003,.4,.029,.013,69,18
2020-11-02 19,부산 중구,광복동,221112,.003,.4,.023,.022,68,20
2020-11-02 20,부산 중구,광복동,221112,.003,.5,.011,.025,57,14
2020-11-02 21,부산 중구,광복동,221112,.003,.4,.019,.021,50,19
2020-11-02 22,부산 중구,광복동,221112,.003,.4,.016,.021,54,11
2020-11-02 23,부산 중구,광복동,221112,.003,.5,.007,.028,46,19
2020-11-02 24,부산 중구,광복동,221112,.003,.4,.01,.02,47,16
2020-11-03 01,부산 중구,광복동,221112,.003,.4,.015,.018,41,14
2020-11-03 02,부산 중구,광복동,221112,.003,.4,.016,.014,40,13
2020-11-03 03,부산 중구,광복동,221112,.003,.4,.02,.013,36,17
2020-11-03 04,부산 중구,광복동,221112,.003,.3,.024,.009,30,13
2020-11-03 05,부산 중구,광복동,221112,.003,.3,.021,.01,27,10
2020-11-03 06,부산 중구,광복동,221112,.003,.4,.018,.015,27,8
2020-11-03 07,부산 중구,광복동,221112,.003,.4,.014,.02,35,8
2020-11-03 08,부산 중구,광복동,221112,.004,.4,.012,.023,26,4
2020-11-03 09,부산 중구,광복동,221112,.004,.4,.018,.015,40,7
2020-11-03 10,부산 중구,광복동,221112,.003,.4,.021,.014,39,12
2020-11-03 11,부산 중구,광복동,221112,.003,.4,.03,.008,37,10
2020-11-03 12,부산 중구,광복동,221112,.003,.3,.035,.006,55,5
2020-11-03 13,부산 중구,광복동,221112,.003,.3,.036,.006,35,5
2020-11-03 14,부산 중구,광복동,221112,.003,.3,.036,.006,26,9
2020-11-03 15,부산 중구,광복동,221112,.003,.3,.035,.006,26,6
2020-11-03 16,부산 중구,광복동,221112,.003,.3,.037,.006,22,2
2020-11-03 17,부산 중구,광복동,221112,.003,.3,.034,.007,31,6
2020-11-03 18,부산 중구,광복동,221112,.003,.3,.034,.007,33,13
2020-11-03 19,부산 중구,광복동,221112,.003,.3,.031,.009,26,8
2020-11-03 20,부산 중구,광복동,221112,.003,.4,.029,.01,37,7
2020-11-03 21,부산 중구,광복동,221112,.003,.4,.027,.01,26,6
2020-11-03 22,부산 중구,광복동,221112,.003,.4,.028,.008,27,6
2020-11-03 23,부산 중구,광복동,221112,.003,.3,.029,.007,23,8
2020-11-03 24,부산 중구,광복동,221112,.003,.3,.028,.008,20,7
2020-11-04 01,부산 중구,광복동,221112,.003,.3,.028,.006,26,6
2020-11-04 02,부산 중구,광복동,221112,.003,.3,.03,.005,20,6
2020-11-04 03,부산 중구,광복동,221112,.003,.3,.029,.005,20,6
2020-11-04 04,부산 중구,광복동,221112,.003,.3,.03,.005,19,6
2020-11-04 05,부산 중구,광복동,221112,.003,.3,.032,.004,20,8
2020-11-04 06,부산 중구,광복동,221112,.003,.3,.03,.005,18,8
2020-11-04 07,부산 중구,광복동,221112,.003,.3,.029,.005,15,3
2020-11-04 08,부산 중구,광복동,221112,,,,,,
2020-11-04 09,부산 중구,광복동,221112,,,,,,
2020-11-04 10,부산 중구,광복동,221112,,,,,,
2020-11-04 11,부산 중구,광복동,221112,,,,,,
2020-11-04 12,부산 중구,광복동,221112,,,,,,
2020-11-04 13,부산 중구,광복동,221112,,,.032,.008,27,11
2020-11-04 14,부산 중구,광복동,221112,,,,,,
2020-11-04 15,부산 중구,광복동,221112,,,.037,.007,18,8
2020-11-04 16,부산 중구,광복동,221112,,,.034,.009,25,18
2020-11-04 17,부산 중구,광복동,221112,,,.033,.011,30,
2020-11-04 18,부산 중구,광복동,221112,,,.027,.014,26,11
2020-11-04 19,부산 중구,광복동,221112,.003,.5,.01,.027,,17
2020-11-04 20,부산 중구,광복동,221112,.003,.5,.003,.033,25,5
2020-11-04 21,부산 중구,광복동,221112,.003,.4,.008,.028,37,10
2020-11-04 22,부산 중구,광복동,221112,.003,.4,.015,.021,32,13
2020-11-04 23,부산 중구,광복동,221112,.003,.3,.018,.017,23,12
2020-11-04 24,부산 중구,광복동,221112,.003,.4,.016,.019,23,10
2020-11-05 01,부산 중구,광복동,221112,.003,.3,.021,.012,32,7
2020-11-05 02,부산 중구,광복동,221112,.003,.4,.02,.013,27,9
2020-11-05 03,부산 중구,광복동,221112,.003,.3,.024,.009,23,12
2020-11-05 04,부산 중구,광복동,221112,.003,.3,.026,.008,30,11
2020-11-05 05,부산 중구,광복동,221112,.003,.3,.026,.008,26,9
2020-11-05 06,부산 중구,광복동,221112,.003,.3,.027,.007,26,7
2020-11-05 07,부산 중구,광복동,221112,.003,.4,.022,.012,27,7
2020-11-05 08,부산 중구,광복동,221112,.003,.4,.018,.016,27,10
2020-11-05 09,부산 중구,광복동,221112,.003,.4,.013,.02,27,10
2020-11-05 10,부산 중구,광복동,221112,.004,.5,.008,.027,38,17
2020-11-05 11,부산 중구,광복동,221112,.003,.5,.009,.037,58,27
2020-11-05 12,부산 중구,광복동,221112,.004,.4,.016,.033,48,28
2020-11-05 13,부산 중구,광복동,221112,.004,.4,.017,.029,46,23
2020-11-05 14,부산 중구,광복동,221112,.004,.4,.023,.022,37,26
2020-11-05 15,부산 중구,광복동,221112,.003,.4,.028,.018,36,12
2020-11-05 16,부산 중구,광복동,221112,.004,.3,.03,.018,25,10
2020-11-05 17,부산 중구,광복동,221112,,,,,,
2020-11-05 18,부산 중구,광복동,221112,,,,,,
2020-11-05 19,부산 중구,광복동,221112,.004,.5,.004,.04,35,8
2020-11-05 20,부산 중구,광복동,221112,.004,.6,.003,.042,51,22
2020-11-05 21,부산 중구,광복동,221112,.003,.6,.004,.041,57,32
2020-11-05 22,부산 중구,광복동,221112,.004,.6,.003,.041,44,31
2020-11-05 23,부산 중구,광복동,221112,.003,.5,.003,.04,43,32
2020-11-05 24,부산 중구,광복동,221112,.004,.5,.005,.037,45,18
2020-11-06 01,부산 중구,광복동,221112,.004,.6,.003,.042,45,28
2020-11-06 02,부산 중구,광복동,221112,.003,.5,.004,.037,37,22
2020-11-06 03,부산 중구,광복동,221112,.003,.4,.007,.028,38,19
2020-11-06 04,부산 중구,광복동,221112,.003,.4,.005,.029,28,16
2020-11-06 05,부산 중구,광복동,221112,.003,.4,.008,.027,25,21
2020-11-06 06,부산 중구,광복동,221112,.003,.4,.007,.028,32,20
