지점,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간 풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),평균 이슬점온도(°C),최소 상대습도(%),최소 상대습도 시각(hhmi),평균 상대습도(%),평균 증기압(hPa),평균 현지기압(hPa),최고 해면기압(hPa),최고 해면기압 시각(hhmi),최저 해면기압(hPa),최저 해면기압 시각(hhmi),평균 해면기압(hPa),가조시간(hr),합계 일조시간(hr),1시간 최다일사 시각(hhmi),1시간 최다일사량(MJ/m2),합계 일사량(MJ/m2),일 최심신적설(cm),일 최심신적설 시각(hhmi),일 최심적설(cm),일 최심적설 시각(hhmi),합계 3시간 신적설(cm),평균 전운량(1/10),평균 중하층운량(1/10),평균 지면온도(°C),최저 초상온도(°C),평균 5cm 지중온도(°C),평균 10cm 지중온도(°C),평균 20cm 지중온도(°C),평균 30cm 지중온도(°C),0.5m 지중온도(°C),1.0m 지중온도(°C),1.5m 지중온도(°C),3.0m 지중온도(°C),5.0m 지중온도(°C),합계 대형증발량(mm),합계 소형증발량(mm),9-9강수(mm),안개 계속시간(hr)
159,2020-01-01,1.9,-3.2,134,7.8,1418,,,,,,,10.5,50,256,5.1,20,302,2.3,1987,-9.3,21,8,44,3.2,1021,1031.7,935,1028.5,1438,1029.8,9.8,9.3,1200,2.05,12.32,,,,,,1,0,1.2,-8.5,5.1,5.1,6.6,7.6,8.5,12.3,14.8,18.4,19.3,1.9,2.8,,
159,2020-01-02,4.1,.5,425,9.6,1417,,,,,,,9.7,290,225,4.9,320,231,2.8,2445,-4.7,38,1418,53.1,4.3,1018.8,1030.2,919,1025.9,1411,1027.5,9.9,9.1,1200,1.94,11.17,,,,,,.4,0,2.9,-4,5.4,5.5,6.5,7.2,8.1,12,14.6,18.4,19.1,1.9,2.7,,
159,2020-01-03,5.9,2.3,521,11.6,1426,,,,,,,12.6,270,144,6.5,290,234,3,2581,-6.1,27,1521,43,3.9,1015.5,1026.3,6,1022.2,1441,1024.1,9.9,9.2,1200,2.09,12.09,,,,,,.1,0,3.2,-4.3,5.9,5.8,6.7,7.3,8,12,14.5,18.3,19.1,2.4,3.5,,
159,2020-01-04,5.5,2,709,9.7,1441,,,,,,,12.5,340,240,6.5,340,253,2.9,2511,-8.8,27,1016,34.8,3.2,1015.3,1026.5,2318,1021.6,1353,1024,9.9,8.4,1300,1.93,10.85,,,,,,2.5,0,3.3,-5,5.7,5.7,6.6,7.3,8,11.8,14.5,18.2,19.2,2.3,3.3,,
159,2020-01-05,7.4,2.6,452,13.5,1333,,,,,,,7.7,320,25,4.2,340,2,1.3,1142,-2.3,35,1113,51.1,5.3,1020.6,1030.7,1003,1026.2,41,1029.3,9.9,9.2,1200,2.03,11.9,,,,,,1,0,3.6,-6,6,6,6.7,7.2,7.8,11.7,14.3,18.2,19.2,1.7,2.4,.9,
159,2020-01-06,7.8,5.5,149,9,1256,16.25,,,,,10.7,6,110,2214,3.1,50,2009,1.5,1305,6,64,5,89.4,9.5,1017.8,1030,1,1022,2359,1026.4,9.9,0,1000,.31,1.72,,,,,,9.8,8.1,6.5,-4.4,6.6,6.6,7.2,7.6,8,11.5,14.2,18.1,19.1,.3,.5,22.7,
159,2020-01-07,14.4,9,1,17.7,1621,19.58,,,,,26.3,28.9,200,2157,15.9,250,2205,6.1,5302,13.7,71,2247,96.6,15.9,1003.8,1022,1,1002,2157,1012.1,9.9,0,1400,.15,.7,,,,,,10,7.1,12.1,8.8,9.7,9.3,8.7,8.4,8.5,11.5,14.1,18.1,19.1,1.2,1.7,13.4,
159,2020-01-08,8.8,4.9,2348,15,1,.17,,,,,0,22,250,310,12.9,250,326,6.4,5568,2.1,49,1330,63.5,7.2,1003.8,1019.5,2137,1001.2,54,1012.3,9.9,9,1200,2.28,12.12,,,,,,4.1,3.9,8.9,2.7,10.3,10.2,10.1,9.7,9.5,11.3,14,18.1,19,2,2.9,,
159,2020-01-09,5.3,2.3,718,9.8,1350,,,,,,,13.8,290,45,6.4,290,231,2.6,2207,-5.3,32,1353,48,4.2,1012.2,1022,2107,1018.9,9,1020.8,9.9,7.6,1200,1.78,10.61,,,,,,4.5,0,5.1,-1.3,7.8,7.9,8.8,9.2,9.5,11.5,13.8,18,19.1,2.1,2.9,,
159,2020-01-10,5.9,.9,646,12.3,1406,,,,,,,9.3,360,210,4.1,340,148,1.8,1515,-6.6,33,1153,40.5,3.8,1012.8,1023.8,955,1019.3,2329,1021.4,10,9.2,1200,2.08,11.99,,,,,,1.6,0,3.7,-7.3,6.8,6.8,7.8,8.5,9,11.5,13.8,17.9,19,2.5,3.6,,
