날짜,시도,측정소명,측정소코드,아황산가스,일산화탄소,오존,이산화질소,PM10,PM2.5
2020-09-01 01,부산 중구,광복동,221112,.002,.2,.028,.004,20,8
2020-09-01 02,부산 중구,광복동,221112,.002,.2,.028,.004,21,9
2020-09-01 03,부산 중구,광복동,221112,.002,.2,.029,.003,23,6
2020-09-01 04,부산 중구,광복동,221112,.002,.2,.028,.003,17,7
2020-09-01 05,부산 중구,광복동,221112,.002,.2,.026,.004,15,9
2020-09-01 06,부산 중구,광복동,221112,.002,.2,.026,.004,17,8
2020-09-01 07,부산 중구,광복동,221112,.002,.2,.022,.007,18,10
2020-09-01 08,부산 중구,광복동,221112,.002,.3,.017,.011,17,9
2020-09-01 09,부산 중구,광복동,221112,.003,.3,.018,.011,17,6
2020-09-01 10,부산 중구,광복동,221112,.003,.3,.021,.01,20,10
2020-09-01 11,부산 중구,광복동,221112,.003,.3,.024,.01,25,10
2020-09-01 12,부산 중구,광복동,221112,.003,.3,.025,.013,31,10
2020-09-01 13,부산 중구,광복동,221112,.003,.3,.031,.009,32,13
2020-09-01 14,부산 중구,광복동,221112,.003,.3,.03,.008,34,20
2020-09-01 15,부산 중구,광복동,221112,.003,.3,.03,.01,33,14
2020-09-01 16,부산 중구,광복동,221112,.003,.3,.028,.011,26,11
2020-09-01 17,부산 중구,광복동,221112,.003,.3,.024,.013,29,9
2020-09-01 18,부산 중구,광복동,221112,.003,.3,.022,.013,31,9
2020-09-01 19,부산 중구,광복동,221112,.004,.3,.018,.015,33,
2020-09-01 20,부산 중구,광복동,221112,.005,.3,.015,.018,32,15
2020-09-01 21,부산 중구,광복동,221112,.004,.3,.018,.013,26,16
2020-09-01 22,부산 중구,광복동,221112,.003,.3,.019,.012,27,14
2020-09-01 23,부산 중구,광복동,221112,.003,.3,.025,.008,17,12
2020-09-01 24,부산 중구,광복동,221112,.003,.3,.027,.007,19,9
2020-09-02 01,부산 중구,광복동,221112,.003,.3,.028,.006,20,9
2020-09-02 02,부산 중구,광복동,221112,.003,.3,.03,.005,24,9
2020-09-02 03,부산 중구,광복동,221112,.003,.2,.031,.005,22,8
2020-09-02 04,부산 중구,광복동,221112,.002,.2,.03,.004,23,11
2020-09-02 05,부산 중구,광복동,221112,.002,.2,.028,.004,25,15
2020-09-02 06,부산 중구,광복동,221112,.002,.3,.029,.005,24,6
2020-09-02 07,부산 중구,광복동,221112,.002,.2,.026,.006,12,9
2020-09-02 08,부산 중구,광복동,221112,.002,.2,.028,.006,19,9
2020-09-02 09,부산 중구,광복동,221112,.002,.2,.018,.006,27,9
